city,description,location,state,longitude,latitude
Ottawa,"Footsteps go across the stage when no one is there. Voices carry on conversations just out of understanding range, usually downstairs. Chairs may move from where they are set in the mezzanine.",Municipal Auditorium,Kansas,-95.2669655,38.6140464
Overland Park,Old Stanley Hotel - Old gentlemen that resided in the hotel who suffered from schizophrenia frequently saw a woman in a white dress floating over his armoire and when he would reach out to her she would disappear. Since years have passed several unexplai,Stanley,Kansas,-94.6657907,38.8544521
Overland Park,The pizza parlor in the old Stonewall Inn is accepted by most as no less then haunted. The manager has reported many spooky occurrences after closing time. Every night after closing time when the manager is the only one left he locks himself in. He then,Stonewall Inn,Kansas,-94.7425916,38.942684
Paola,the former head of maintenance haunts the school where he died.,Paola High School,Kansas,-94.8569876,38.5753853
Park City,One of the ghost was murdered back in these woods several years ago. It was by her husband who had caught her in a deep love affair. Little did he now that she was pregnant. Now her soul can't rest. So she takes it out on the kids who travel this trail.,The Backtrail,Kansas,-100.1974705,37.8993459
Parsons,"An explosion in the late 1980s killed two workers, a man and a woman, and closed the plant for more than two years. When work resumed in 1990, just in time for the Persian Gulf War, part of the building was closed. To prevent sympathetic detonation in ca",Army Ammunition Plant,Kansas,-95.1842132,37.2844919
Pittsburg,In the Basement you get creepy feelings. The lights in the Auditorium will sway. Pentagrams will be scratched into the ten-foot tall ceiling. Things will fly across the room. You can see a ghost of a man with dark brown curly hair in a racecar uniform. Y,Lakeside School,Kansas,-94.7108598,37.4019683
Pittsburg,There is many diffrent creepy things that goes on in the Pittsburg Middle School. Many people have heard stories about the toillets flush by them selves and the doors open and close by them selves. It is said that there used to be a piano up in the very,Pittsburg Middle School,Kansas,-94.7029275,37.4197003
Pittsburg,"McCray Hall - Music Department -  Sightings of a lady in a black dress. The Pipe organ is heard playing at night. Sudden temperature variations. Strange movements from corners of eyes. If wanting to investigate, please contact the university to ask permi",Pittsburgh State University,Kansas,-94.6915709,37.3902857
Pratt,"a man parked his car on the south end of the park and committed suicide, several kids were involved in a fatal car accident on the same end of the park, and satanic worship goes on in the woods on the south end of the park. the park is haunted, and VERY",Lemon's Park,Kansas,-98.7336628,37.6356457
Prairie Village,"In the restaurant, there have always been several reports of cold spots, especially at one specific table where there is no draft. In the kitchen, as well as the dining room, there have been reports from diners and workers of strange occurrences: voices,",Homestead Country Club,Kansas,-94.6330604,39.0118185
Salina,"The belife it is haunted teacher.(the identity is not know) Witnesses have experienced many noises, footsteps, doors closing, banging, and lights going off and on by themselves. All the 3rd shift janitors carry boomboxes so they cannot hear the noises sh",Salina Central High School,Kansas,-97.6014534,38.8257628
Silver Lake,"Man who was killed ""accidentally"" while getting a shave is still seen inside the shop.",Barber Shop,Kansas,-95.7639371,39.0450589
Stull,evil sprints and entities are said to live here.,Stull Cemetery,Kansas,-95.455833,38.971111
Tescott,There was a man that ran into the trophy case. He died. He still haunts the school. The first principal of the school died and haunts the school too. There were reports of 3 hauntings there.,Tescott Grade School,Kansas,-97.8796052,39.0128184
Topeka,It is said that a woman killed herself by jumping off the staircase that leads up to the top of the dome. Sometimes in the basement you can hear footsteps and her crying.,Capital Building,Kansas,-95.6780594,39.0481533
Topeka,The studio has been in the basement of a home since 1942. Dorothy passed away in 1988 and all of this started then. There have been what sounds like 150 people tap dancing at 3 am. The lights go off and on by themselves. An old broken down piano plays Sw,Dorothy Thomas School of Dance,Kansas,-95.70975,39.0292975
Topeka,this house is home to a poltergeist.,Gardner House,Kansas,-95.698397,39.0527609
Topeka,This church is one of the most haunted places in Kansas. This church was a normal church until one-day possessed by the Devil and is now abandoned. People say they hear screams and a little girl crying. Do not go there unless you are wanting a fright.,Harrison Church,Kansas,-95.6796899,39.0493435
Topeka,The Albino Lady is seen often in the cemetery,Rochester Cemetery,Kansas,-95.680433,39.1021381
Topeka,at the KDHE there are said to be two different ghosts that haunt that place. George and Sam are their names and their stories are just about all other ghosts they died a horrible death and they can go till it avenged.,Kansas Department of Health and Environment,Kansas,-95.6770093,39.0454931
Topeka,"Three spirits have tied themselves to this building-the most famous being a police officer shot by a burglar he surprised on the roof, the other two are women inexplicably tied to an armchair in the ladies' room and loveseat in the hall at the lodge.i",North Topeka Moose Lodge,Kansas,-97.6600732,39.5727867
Topeka,"Former ATSF train station reportedly haunted by at least three entities: One is a woman occasionally seen dressed in early 20th century apparel on the second floor of the station, another sighting is of a former ticket-clerk who is often seen at ""his"" ti",Overland station,Kansas,-95.6694451,39.0662718
Topeka,Apparitions have been seen and heard. Employees and security are all afraid to go upstairs alone. Sometimes if you go out late at night alone the lights will be on and loud music playing though no one is there and all was quiet earlier. The building is a,Topeka Country Club,Kansas,-95.6928997,39.0199599
Topeka,"Topeka High School is one of the oldest schools in Topeka. There are tunnels beneath the school and is supposedly built over a graveyard. There have been witnesses of ghosts and even pictures. When said to be alone, there has been conversations between t",Topeka High School,Kansas,-95.6854466,39.0494774
Topeka,"Very large facility, opened in 1872-closed 1997, at one time the site of Kansas' hospital for criminally insane.Orbs, apparitions in windows, voices and music heard from many of the buildings on campus.1,157 people are buried in the cemetery on sit",Topeka State Hospital,Kansas,-95.696951,39.0563813
Towanda,It is said that this grocery used to be an orphanage and also a home for wayward woman. Truckers used to sleep in the basement of the building. This is one of the oldest buildings in Towanda. Many of the women that worked at the grocery have said to see,Wilburs Grocery,Kansas,-97.0193417,37.938657
Ulysses,It is haunted by a little girl she walks in a certain hallway near the cafeteria,Red Rock Elementary School,Kansas,-101.1726694,37.5633562
Valley Center,"There are several legends about this bridge but the basis of all is that a child was drowned in the creek below and her mother is calling out to her, looking for her baby. The bridge burnt down in 1974 but you can still go to the sight today. People repo",Theorosa's Bridge,Kansas,-97.374042,37.883106
Wamego,"Reports of lights turning on and off in the basement, and on the main theater floor, props mysteriously move from place to place sounds of moaning and climbing of stairs in utter silence. One report says the fire alarm mysteriously went off with no one a",Columbian Theater,Kansas,-96.3054547,39.2029622
Wamego,Reports of David White's ghost haunting the carnival.,Wamego's alleys,Kansas,-96.305245,39.199736
Wichita,"when the Bel Aire water tower was being built a man snuck into the construction site and climbed the tower, he slipped and fell inside falling a horrible 183 feet to his death, when workers discovered he fell, they would have had to taken the tower apart",Bel Aire,Kansas,-97.2598913,37.7708346
Wichita,Reports of lights flickering on and off only in the rooms not in the hallway. Within seconds of leaving a room furniture would be rearranged. The doors while they shake violently only to find no one on the other side.,The Broadview Hotel in Old Town,Kansas,-97.342446,37.686398
Wichita,"it is said that locker 303 is haunted by a little girl who got raped and killed in the auditorium, then got stuffed in the locker. if you go down that hallway by yourself, people say that you can smell her deceased body from the locker. it is also said t",Brooks Middle School,Kansas,-97.2914214,37.7350239
Wichita,for almost 150 years ghost hunters and curious people have traveled to an old crumbling bridge near Wichita known to be haunted by restless spirit of an agonized mother desperately seeking her murdered baby. the restless spirits of many of dead continue,Jesters Creek/Theorosas Bridge,Kansas,-97.374042,37.883106
Wichita,"People have been known to hear strange sounds while performing maintenance on the aircraft, and lights going on and off without any explanation. They say on Halloween night if it is foggy out, a WW2 aircraft with appear to land on the runway then disappe",McConnell Airforce Base,Kansas,-97.2469636,37.6410754
Wichita,Amateur ghost hunters claim to have captured a child's voice and capture anomalies on film.,Rest Haven Cemetery,Kansas,-97.4787686,37.6646137
Wichita,"There's a lady/girl that walks around the hall ways after dark. She makes the locks of the lockers clank, and bounce against them.",Robinson Middle School,Kansas,-97.2796172,37.691072
Wichita,"Many students have complained of mysterious footsteps and unknown knocking on doors, and closing and shutting of doors, televisions turning on by themselves. gray dress when followed her she disappears.",Wichita State University,Kansas,-97.2928693,37.7193933
Wichita,"Wilner Auditorium -  several accounts of voices, doors opening and closing, and lights flickering have been noticed by students. The ghost is believed to be that of building namesake.",Wichita State University,Kansas,-97.2928693,37.7193933
