Place_Name,Address,City,Rating,Total_Rati,Latitude,Longitude,Type,Descriptio
Fort Bissell Museum,"501 Fort Bissel Ave, Phillipsburg",Phillipsburg,4.6,22,39.7554363,-99.332581,"tourist_attraction, point_of_interest, establishment","Small fort and museum with 100% community donated artifacts, construction and time to assemble this collection of buildings as well as several rooms full of artifacts. The volunteers are kind and generous with plenty of details about the history of the a"
Henry John Neuschwanger Homestead,"724 S 200th Ave, Osborne",Osborne,5.0,1,39.3982753,-98.8537151,"point_of_interest, establishment",The Henry John Neuschwanger Homestead has an old house surrounded by trees not far from Mt Hope Cemetery and is in Tilden Township.
Rooks County Historical Society & Museum,"921 S Cedar St, Stockton",Stockton,4.8,11,39.4277441,-99.2756594,"museum, point_of_interest, establishment","If you like the old style museums, we think you?ÇÖll love this one.  Not the ones with lots of reading and a few items displayed.  We had a guided tour with Rick, the coordinator, who is not native to the area but was full of local history.  Very well or"
Twin Mounds,"76J4+53, Waldo",Waldo,5.0,2,39.2804701,-98.7948155,"point_of_interest, establishment",Native American Mounds
Logan Area Historical Museum,"219 W Main St, Logan",Logan,4.3,3,39.6616736,-99.5720139,"museum, tourist_attraction, point_of_interest, establishment","Cool place, with national / international stuff!"
Iwo Jima Memorial,"704 S 13th St, WaKeeney",WaKeeney,1.0,2,39.0119027,-99.8710076,"point_of_interest, establishment",No longer there.   Will search nearby Veterans Cemetery to see of moved there.
Paradise Water Tower,Paradise,Paradise,5.0,4,39.1179884,-98.9158879,"point_of_interest, establishment",These FFA students from Eastern Kansas helped a family that lost their home to praire fires.
William J Harkleroad Memorial Point,"Creekside Park, 500 Taylor St, Ellis",Ellis,0.0,0,38.9449203,-99.5652009,"point_of_interest, establishment",No description available
Cedar Depot museum,Cedar,Cedar,0.0,0,39.6568983,-98.9401802,"museum, point_of_interest, establishment",No description available
Old US 40 Service Station,"600 W 10th St, Ellis",Ellis,0.0,0,38.9371854,-99.5676589,"point_of_interest, establishment",No description available
Chrysler Boyhood Home and Museum,"102 W 10th St, Ellis",Ellis,4.7,34,38.9365551,-99.5609397,"museum, tourist_attraction, point_of_interest, establishment","We were on our way home from visiting family in Monument, Colorado, in our RV. We were at a KOA campground in WaKeeney, just 20 miles away from the Boyhood Home of Walter Chrysler.We decided to stay another night and visit this place: it is a wonderful p"
Cyclone Day Memorial,"303 4th St, Codell",Codell,4.6,9,39.1944011,-99.1750393,"museum, tourist_attraction, point_of_interest, establishment","A neat little memorial.  Other reviews describe it well so no need to duplicate their work.  One warning though, don't park right next to the memorial.  The parking lot is full of goat heads and they will puncture tires, the soles of your shoes, and your"
Logan Area Historical Society,"215 W Main St #217, Logan",Logan,0.0,0,39.6616734,-99.5720139,"point_of_interest, establishment",No description available
Nicodemus Historic Baseball Diamond,"418 Washington Ave, Bogue",Bogue,0.0,0,39.3932834,-99.6180579,"tourist_attraction, point_of_interest, establishment",No description available
Father Padilla Cross and Historic Marker,"1192 Ave M, Lyons",Lyons,4.6,18,38.3475135,-98.2765413,"point_of_interest, establishment","A mile north of historic Cow Creek Crossing on the Santa Fe Trail along highway 56 west of Lyon, Kansas."
Souders Historical Farm Museum,"39925 West 39th St S, Cheney",Cheney,4.9,25,37.616844,-97.79978,"museum, tourist_attraction, point_of_interest, establishment",A super interesting historical museum that is seemingly in the middle of nowhere. There are many unique and just plain cool antiques and artifacts that you can literally get up close and personal with. I recommend a stop if you are in the area!
Buffalo Bill's Well on the Santa Fe Trail,"12th Rd, Lyons",Lyons,4.0,14,38.3338561,-98.2756556,"point_of_interest, establishment","Unfortunately, the well is no more than a plate welded flush with the ground. It's a nice side trip off the main highway but there's nothing to see but a small sign with limited details. Wish there was more about the Santa Fe Trail crossing which was app"
Historic McPherson Sante Fe Depot,"400 N Chestnut St, McPherson",McPherson,4.4,5,38.3723454,-97.6711772,"point_of_interest, establishment",Cool Old Building. Atmosphere was nice. The Old man in Coveralls was a bit Handsy. The Taco were Yummy.
Soldiers and Sailors Monument,"101 E 1st Ave, Hutchinson",Hutchinson,4.0,3,38.0532316,-97.929881,"point_of_interest, establishment","The Soldiers and Sailors Monument in downtown Hutchinson is truly a sight to behold. Standing tall, it serves as a poignant memorial to honor our veterans. The monument is flanked by two large cannons, adding to its majestic presence. At the base, beauti"
Salt Discovery Well,"1 Discovery Lp, South Hutchinson",South Hutchinson,4.6,11,38.0137317,-97.9458296,"tourist_attraction, point_of_interest, establishment","Learning that salt was discovered in Hutchinson, Kansas was pretty awesome! No wonder it's called the Salt City! How cool is that this obscure little town out in the middle of nowhere is famous for so many things that I didn't even know of!"
Fry'sRuts,"2939-2941 Ave P, Little River",Little River,5.0,2,38.3020727,-97.9555163,"point_of_interest, establishment",
Former Rock Island Railroad Depot,Hutchinson,Hutchinson,3.8,6,38.0473891,-97.9297192,"point_of_interest, establishment",It was well lit and easy to get to
Santa Fe Trail Marker,"22nd Ave, Galva",Galva,4.8,4,38.3497623,-97.5193763,"point_of_interest, establishment",Stop and read the history of the area and the people who came before us.
Chimney Sweep,"US-81, McPherson",McPherson,5.0,5,38.3116435,-97.6142778,"point_of_interest, establishment",He definitely stands out by himself!
Ye Old Mill,Hutchinson,Hutchinson,4.6,12,38.0765718,-97.9271651,"tourist_attraction, point_of_interest, establishment",A fun unique experience...just give it a go.
Kingman County Historical Museum,"400 N Main St, Kingman",Kingman,4.9,9,37.6453971,-98.1130595,"museum, point_of_interest, establishment","A must-visit museum, visited last year (thanks Sharon again for the welcome and all explanations). Very interesting explanation of how was Kingman at its origin. I remember the dentist machines (using pedals). And the firemen's pole."
Reno County Museum,"100 S Walnut St, Hutchinson",Hutchinson,4.6,134,38.050614,-97.929828,"museum, point_of_interest, establishment",We make this an annual tradition to come check out this museum while we?ÇÖre here. Always has some good exhibits.
McPherson Globe Refiners Statue,"122 E Marlin St, McPherson",McPherson,5.0,2,38.3703285,-97.6656105,"point_of_interest, establishment",Interesting monument in memory of the 1936 gold medal winning U.S. basketball team
"Little Arkansas Crossing, Santa Fe Trail",Windom,Windom,5.0,1,38.3048582,-97.9374601,"point_of_interest, establishment",
Mill Race Dam,Kingman,Kingman,5.0,4,37.6377901,-98.1087014,"point_of_interest, establishment",Lovely place to take your lunch and I bet the fishing in the nearby pond and above the dam is good.
Museum of Ellinwood & Ellinwood Community Historical Society,"104 N Main St, Ellinwood",Ellinwood,4.0,1,38.354891,-98.5814175,"museum, point_of_interest, establishment",Lots of antiques.  Not expensive. Always adding new things.
Santa Fe Trail Park,"840 Avenue N, Chase",Chase,4.0,1,38.3330244,-98.3405764,"point_of_interest, establishment",This small park has a few visible ruts from the Santa Fe Trail and an old Buffalo Wallow. There is a gravel parking area right off the road- probably big enough for 3-4 cars. A large sign put up by the Fort Larned Historical Society details the history o
Coronado Quivira Museum,"105 W Lyon St, Lyons",Lyons,4.6,39,38.3456946,-98.2036586,"museum, tourist_attraction, point_of_interest, establishment",There's an awesome variety of stuff in this museum! It starts out with Native American stuff and professes through time and includes Coronado and genuine chain mail from Spanish conquistadors! There is also a basement with more recent relics including a
Stafford County Museum,"100 N Main St, Stafford",Stafford,4.7,13,37.9618726,-98.600179,"museum, point_of_interest, establishment","Had personal tour. It is very interesting, especially if your from central Kansas. Free, but donations accepted."
Haskell County Historical,"Fairgrounds St, Sublette",Sublette,4.9,14,37.478262,-100.8364858,"museum, tourist_attraction, point_of_interest, establishment",Wow so much stuff from the past this place was surreal. Really made me stop and think and the kids absolutely loved it too.
Ford County Historical Society,"310 Gunsmoke St, Dodge City",Dodge City,4.8,6,37.7538328,-100.0198411,"museum, point_of_interest, establishment","Great place to visit! They even have a few photo op cars, so take the kids. We showed up at closing, and were not run off. Owner even talked to us and answered any and all questions regarding the racecars."
1139 Steam Engine,Dodge City,Dodge City,4.8,14,37.7530206,-100.022025,"point_of_interest, establishment","Dodge City is not the wild wild West town of yore, but a place full of museums, statues and entertainment.  We just dipped our toes in and can?ÇÖt wait to go back to really get to know the place."
Kansas Historical Marker Beersheba,"State Route 156 &, KS-23, Garfield Township",Garfield Township,5.0,1,38.059365,-100.4617625,"point_of_interest, establishment",
Historic Sundials,"201 E Wyatt Earp Blvd, Dodge City",Dodge City,4.5,2,37.7523595,-100.0151388,"point_of_interest, establishment","Large Sundial 'hidden' behind the old railroad depot. A pair of them as tall as a flagpole, labeled by timezone."
Doc Holliday Statue,"488 W Wyatt Earp Blvd, Dodge City",Dodge City,4.7,43,37.7529127,-100.0213203,"tourist_attraction, point_of_interest, establishment","Great stop to see the statues , train , Boot Hill . Fun fun fun !"
Historic Santa Fe Depot,"201 E Wyatt Earp Blvd, Dodge City",Dodge City,4.3,12,37.7526408,-100.0160383,"tourist_attraction, point_of_interest, establishment","It's a functioning train station, so you can't expect much. Clean though. If the lady at the visitor's center wouldn't have told us, we wouldn't  have found the entrance."
Old West Mural,Dodge City,Dodge City,5.0,2,37.7554013,-100.0206286,"point_of_interest, establishment",A beautiful mural behind the salsa man
La Salsa Man,"709 3rd Ave, Dodge City",Dodge City,4.7,27,37.7552866,-100.0203815,"tourist_attraction, point_of_interest, establishment",Salsa Man is a great photo op ! We had quiet a few laughs trying to get that perfect shot ! Cool!
Coronado Cross,"11666 US-400, Dodge City",Dodge City,4.3,70,37.725763,-99.9125981,"tourist_attraction, point_of_interest, establishment",What a neat part of history that popped up out of nowhere on a road trip!
Finney County Museum,"403 S 4th St, Garden City",Garden City,4.7,76,37.9602562,-100.8709223,"museum, point_of_interest, establishment","Great place to take the family, it's a great zoo and it is free to go.. I don't know of any other zoos that are free. They have a good playground inside the zoo and a carousel ?á???á"
Largest Flag in Kansas,"1621 E Fulton St, Garden City",Garden City,5.0,4,37.9644498,-100.8531528,"point_of_interest, establishment",What a beautiful sight driving down Fulton Street and seeing the American ?á?????á???? flying high over my head. Shared on my Facebook page and of course your wonderful business in the background .
The Caches - Fort Atkinson,Dodge City,Dodge City,2.7,3,37.7586572,-100.0878207,"point_of_interest, establishment",It was great! It was beautiful!
Dodge City,"301 4th Ave, Dodge City",Dodge City,0.0,0,37.7520557,-100.0218078,"point_of_interest, establishment",No description available
Santa Fe Trail Tracks,"US-400, Fort Dodge",Fort Dodge,4.0,255,37.7895652,-100.1977533,"tourist_attraction, point_of_interest, establishment","Basically impossible to see the tracks as of early October. However, the surrounding views are gorgeous, with prairie grass waving and very colorful. I wonder if they should put up something to block weather, as it seems like all the Santa Fe track sites"
Garden City Water Tower,"103 US-50 BUS, Garden City",Garden City,3.8,13,37.9754223,-100.8722267,"point_of_interest, establishment","Forget everything you know about water towers!  This one is special.   It's a tower.   With water IN IT!  The locals call it the ""water tower"".  Take the kids for a fun filled adventure.
(Make sure you take water off the day is hot - water isn't provided"
James Arness (as Matt Dillon) Statue,"400 W Wyatt Earp Blvd, Dodge City",Dodge City,5.0,3,37.7529421,-100.0205813,"point_of_interest, establishment",Nice historic area. Easy to park and walk to all the statues and train.
Large Mountain Time Sundial,"201 E Wyatt Earp Blvd, Dodge City",Dodge City,4.0,1,37.7523725,-100.0154429,"point_of_interest, establishment","Large Sundial 'hidden' behind the old railroad depot. A pair of them as tall as a flagpole, labeled by timezone."
Fort Dodge Camp Supply Military Road,"11810 US-54, Minneola",Minneola,4.4,12,37.4906872,-99.8873312,"point_of_interest, establishment",Interesting large plaque explains the history of the supply camp road.
Boot Hill Museum,"500 W Wyatt Earp Blvd, Dodge City",Dodge City,4.6,2996,37.7538033,-100.0217447,"museum, store, point_of_interest, establishment","History buffs, we were absolutely thrilled with the museum! The displays are carefully curated and cared for. The information provided is interesting and engaging. Everything is well organized and clean. The staff are all professional and courteous. We e"
Historic Ritchie House,"1116 SE Madison St, Topeka",Topeka,4.3,47,39.0427408,-95.6719708,"tourist_attraction, point_of_interest, establishment",Impromptu stop at the Ritchie House and glad we did. It is much less about the actual house and more of the John Ritchie history. Had an hour long lesson from the tour guide with a slideshow providing a deep dive into the many aspects of reform Ritchie a
Kaw Mission State Historic Site,"500 North Msn, Council Grove",Council Grove,4.5,61,38.665916,-96.493941,"tourist_attraction, museum, point_of_interest, establishment","We stopped while traveling to stretch our legs on the walking path along the water. This historic site was in front of the parking area for walking. It was an interesting site that we weren't expecting. I don't think it was open that day, and I'm not cer"
Old Prairie Town at Ward-Meade Historic Site and Botanical Garden,"124 NW Fillmore St, Topeka",Topeka,4.6,464,39.0634685,-95.6833076,"tourist_attraction, park, museum, point_of_interest, establishment","What a lovely little place to walk through a touch of history. Being able to get close to architecture from such a long time ago.

I went during a time when they didn't have the buildings open to walk through them. And there was practically no one there."
Old School House,"10967 Wilmington Rd, Harveyville",Harveyville,5.0,1,38.7448722,-95.9643915,"point_of_interest, establishment",Down the road less traveled now but it has a lot of history about the Santa Fe Trail.
Wamego Historical Museum,"406 4th St, Wamego",Wamego,4.7,30,39.2021295,-96.3004304,"museum, tourist_attraction, point_of_interest, establishment","The staff was so friendly and told us a lot about the items in the main room.  One of the volunteers opened all of the display building on site so we could see them (school house, store, cabin, etc)."
Welcome to The Flint Hills Sign,"393-301 N Humboldt Creek Rd, Junction City",Junction City,4.5,2,39.0616799,-96.7204732,"point_of_interest, establishment",Beautiful place to stretch your legs
Goodnow House State Historic Site,"2301 Claflin Rd, Manhattan",Manhattan,4.5,13,39.192832,-96.5955693,"tourist_attraction, museum, point_of_interest, establishment",They didn't open until 2 pm so we waited and it was worth it. The gentleman who gave us the tour was very informative and told great stories.
Allegawaho Memorial Heritage Park,"S 525 Rd, Council Grove",Council Grove,4.3,20,38.6257382,-96.4315409,"tourist_attraction, point_of_interest, establishment","I came here on a whim and it really surprised me. The park itself was gorgeous with beautiful tallgrass prairies, old growth forests, and tons of wildflowers. The couple ruins on the site are also interesting. Another thing about this park is that it's c"
Native Stone Scenic Byway Historical Marker,Alma,Alma,4.8,19,38.9073333,-96.2799133,"point_of_interest, establishment",Beautiful Kansas. Mind-boggling stone fencing. Rolling hills and winding roads.
The Mormon Trail South Fork Historical Marker,"Kennel Dr, Junction City",Junction City,5.0,1,39.0379154,-96.7655388,"point_of_interest, establishment",
Riley County Historical Museum,"2309 Claflin Rd, Manhattan",Manhattan,4.7,69,39.1923837,-96.5960979,"museum, tourist_attraction, point_of_interest, establishment",Great collection of local history. Be sure to visit the Goodnow house across from the museum. Got a wonderful guided tour of it from one of the staff members--very knowledgeable!
Historic Deep Creek Schoolhouse,"3125 Deep Creek Rd, Manhattan",Manhattan,5.0,8,39.1208508,-96.4825012,"point_of_interest, establishment",Interesting place with many years of history.
Historical Hand-Dug Well,"401 Road to Oz Highway, Westmoreland",Westmoreland,4.3,15,39.3962435,-96.4080357,"point_of_interest, establishment","It's amazing to read about it and to think it was hand dug. It was just sad to see that people thought it was a trashcan of some sort.... no, not the algae because that's going to be a thing in any still water situation. The plastic jugs, the shoes and o"
Shawnee County Historical Society,"1118 SE Madison St, Topeka",Topeka,4.7,3,39.0426068,-95.6721691,"museum, tourist_attraction, point_of_interest, establishment",Bob did a great job in teaching us. He?ÇÖs very knowledgeable.
Former Missouri-Kansas-Texas Depot,"512 E Main St, Council Grove",Council Grove,5.0,1,38.6618761,-96.4801873,"point_of_interest, establishment","This the new home for the Council Grove Visitor Center and the have lots of info for the area.
Plus it?ÇÖs inside one of the last MKT railroad depots in Kansas! It is a great depot and I?ÇÖm glad the city has taken it over and a rehab is hopefully coming"
Ward-Meade House,"3878+9V, Topeka",Topeka,4.5,2,39.0634196,-95.6826666,"point_of_interest, establishment",Just beautiful and free.
Pioneer Jail,"507 E Main St, Council Grove",Council Grove,4.5,13,38.6618794,-96.4807063,"point_of_interest, establishment","Not much to it but it looks authentic. You can go inside the front ""lobby"" and see inside the two jail cells. Pretty sparse!"
First Territorial Capitol State Historic Site,"693 Huebner Rd, Fort Riley",Fort Riley,4.4,43,39.0852807,-96.7621019,"tourist_attraction, museum, point_of_interest, establishment","The capital building itself is pretty cool. There are several neat museums on Fort Riley. I would?ÇÖve given it five stars if not for the background check required to enter the base. You will not be allowed to enter without providing a picture ID, Social"
Kimble Castle,"2001 Poyntz Ave, Manhattan",Manhattan,5.0,2,39.1792267,-96.5887131,"point_of_interest, establishment","Kimball Castle is an AMAZING local treasure!! The historic design and incredible grounds are stunning!  I did the home inspection when it sold recently and there was so much to see! The Guest House is beautiful! At some point, my wife and I hope to spend"
The vieux Crossing and the Miltary road,"19466-19886 Oregon Trail Rd, Wamego",Wamego,3.0,1,39.2564926,-96.2507483,"point_of_interest, establishment","Not quite sure what to make of this place, since there is barely anything here at all. There are two interesting historical markers describing the crossing and the military road, plus a pavilion over a single picnic table. Barely enough parking for a cou"
Frank J. and Harvey J. Ablah House,"102 N Pinecrest St, Wichita",Wichita,5.0,3,37.6866813,-97.2756285,"point_of_interest, establishment",Good location in downtown area. Fun decor in a historic house. This Airbnb is a a great value.
Harvey County Historical Society,"203 N Main St, Newton",Newton,4.8,16,38.0442092,-97.345556,"museum, point_of_interest, establishment",I have so much Respect for the Harvey County Historical Society.  We as a community of Harvey County are blessed to have them. We have no future without reminders of our past.  I'm very grateful to have been a part of the reenactment!
Wichita-Sedgwick County Historical Museum,"204 S Main St, Wichita",Wichita,4.7,241,37.6847302,-97.3378698,"museum, tourist_attraction, park, art_gallery, point_of_interest, store, establishment","Well- worth one's time!  This gem of a local museum dedicated to the history of the Wichita and its environs in Sedgwick County is well worth the effort to explore.  The volunteer staff is friendly, intelligent, and helpful, the museum store is ideal wit"
Delano Clock Tower,Wichita,Wichita,4.5,22,37.6840349,-97.346959,"point_of_interest, establishment","Ok, I'm not sure why I am being hit up to rate the clock tower at the Douglas roundabout, but ok, here goes... It's a clock, it's always had the right time on it on my way by, it's nice looking and definitely compliments the area in my humble opinion. I"
Chisholm Trail Marker,"199 McLean Blvd, Wichita",Wichita,4.7,12,37.6854689,-97.344638,"point_of_interest, establishment",Too cool! Fairly non-descript marker erected in 1941 that celebrates the Chisolm Trail and all the beef and goods that flowed towards the west.
Towanda Kansas Historical Marker,"Q288+3G, Towanda",Towanda,4.2,10,37.765154,-96.9837078,"point_of_interest, establishment","No TP men?ÇÖs room in none of the 9 stalls. Also, toilet  seats loose slide all over the place. Also, they have not clean the inside of the stall or door walls and what looks like a year worth of unfortunately spittle. They need to take a garden hose and"
Historic Chisholm Trail Mulberry Tree Marker,"1211-1347 W Maple St, Wichita",Wichita,4.3,7,37.6803338,-97.3556931,"point_of_interest, establishment","Very small plaque, hardly noticeable while driving to find it."
