state,county,population
 Arizona,Yavapai County,236209
 Arizona,Yuma County,203881
 Arkansas,Arkansas County,17149
 Arkansas,Ashley County,19062
 Arkansas,Baxter County,41627
 Arkansas,Benton County,284333
 Arkansas,Boone County,37373
 Arkansas,Bradley County,10545
 Arkansas,Calhoun County,4739
 Arkansas,Carroll County,28260
 Arkansas,Chicot County,10208
 Arkansas,Clark County,21446
 Arkansas,Clay County,14552
 Arkansas,Cleburne County,24711
 Arkansas,Cleveland County,7550
 Arkansas,Columbia County,22801
 Arkansas,Conway County,20715
 Arkansas,Craighead County,111231
 Arkansas,Crawford County,60133
 Arkansas,Crittenden County,48163
 Arkansas,Cross County,16833
 Arkansas,Dallas County,6482
 Arkansas,Desha County,11395
 Arkansas,Drew County,17350
 Arkansas,Faulkner County,123498
 Arkansas,Franklin County,17097
 Arkansas,Fulton County,12075
 Arkansas,Garland County,100180
 Arkansas,Grant County,17958
 Arkansas,Greene County,45736
 Arkansas,Hempstead County,20065
 Arkansas,Hot Spring County,33040
 Arkansas,Howard County,12785
 Arkansas,Independence County,37938
 Arkansas,Izard County,13577
 Arkansas,Jackson County,16755
 Arkansas,Jefferson County,67260
 Arkansas,Johnson County,25749
 Arkansas,Lafayette County,6308
 Arkansas,Lawrence County,16216
 Arkansas,Lee County,8600
 Arkansas,Lincoln County,12941
 Arkansas,Little River County,12026
 Arkansas,Logan County,21131
 Arkansas,Lonoke County,74015
 Arkansas,Madison County,16521
 Arkansas,Marion County,16826
 Arkansas,Miller County,42600
 Arkansas,Mississippi County,40685
 Arkansas,Monroe County,6799
 Arkansas,Montgomery County,8484
 Arkansas,Nevada County,8310
 Arkansas,Newton County,7225
 Arkansas,Ouachita County,22650
 Arkansas,Perry County,10019
 Arkansas,Phillips County,16568
 Arkansas,Pike County,10171
 Arkansas,Poinsett County,22965
 Arkansas,Polk County,19221
 Arkansas,Pope County,63381
 Arkansas,Prairie County,8282
 Arkansas,Pulaski County,399125
 Arkansas,Randolph County,18571
 Arkansas,St. Francis County,23090
 Arkansas,Saline County,123416
 Arkansas,Scott County,9836
 Arkansas,Searcy County,7828
 Arkansas,Sebastian County,127799
 Arkansas,Sevier County,15839
 Arkansas,Sharp County,17271
 Arkansas,Stone County,12359
 Arkansas,Union County,39054
 Arkansas,Van Buren County,15796
 Arkansas,Washington County,245871
 Arkansas,White County,76822
 Arkansas,Woodruff County,6269
 Arkansas,Yell County,20263
 California,Alameda County,1682353
 California,Alpine County,1204
 California,Amador County,40474
 California,Butte County,211632
 California,Calaveras County,45292
 California,Colusa County,21839
 California,Contra Costa County,1165927
 California,Del Norte County,27743
 California,El Dorado County,191185
 California,Fresno County,1008654
 California,Glenn County,28917
 California,Humboldt County,136463
 California,Imperial County,179702
 California,Inyo County,19016
 California,Kern County,909235
 California,Kings County,152486
 California,Lake County,68163
 California,Lassen County,32730
 California,Los Angeles County,10014009
 California,Madera County,156255
 California,Marin County,262321
 California,Mariposa County,17131
 California,Mendocino County,91601
 California,Merced County,281202
 California,Modoc County,8700
 California,Mono County,13195
 California,Monterey County,439035
 California,Napa County,138019
 California,Nevada County,102241
 California,Orange County,3186989
 California,Placer County,404739
 California,Plumas County,19790
 California,Riverside County,2418185
 California,Sacramento County,1585055
 California,San Benito County,64209
 California,San Bernardino County,2181654
 California,San Diego County,3298634
 California,San Francisco County,873965
 California,San Joaquin County,779233
 California,San Luis Obispo County,282424
 California,San Mateo County,764442
 California,Santa Barbara County,448229
 California,Santa Clara County,1936259
 California,Santa Cruz County,270861
 California,Shasta County,182155
 California,Sierra County,3236
 California,Siskiyou County,44076
 California,Solano County,453491
 California,Sonoma County,488863
 California,Stanislaus County,552878
 California,Sutter County,99633
 California,Tehama County,65829
 California,Trinity County,16112
 California,Tulare County,473117
 California,Tuolumne County,55620
 California,Ventura County,843843
 California,Yolo County,216403
 California,Yuba County,81575
 Colorado,Adams County,519572
 Colorado,Alamosa County,16376
 Colorado,Arapahoe County,655070
 Colorado,Archuleta County,13359
 Colorado,Baca County,3506
 Colorado,Bent County,5650
 Colorado,Boulder County,330758
 Colorado,Broomfield County,74112
 Colorado,Chaffee County,19476
 Colorado,Cheyenne County,1748
 Colorado,Clear Creek County,9397
 Colorado,Conejos County,7461
 Colorado,Costilla County,3499
 Colorado,Crowley County,5922
 Colorado,Custer County,4704
 Colorado,Delta County,31196
 Colorado,Denver County,715522
 Colorado,Dolores County,2326
 Colorado,Douglas County,357978
 Colorado,Eagle County,55731
 Colorado,Elbert County,26062
 Colorado,El Paso County,730395
 Colorado,Fremont County,48939
 Colorado,Garfield County,61685
 Colorado,Gilpin County,5808
 Colorado,Grand County,15717
 Colorado,Gunnison County,16918
 Colorado,Hinsdale County,788
 Colorado,Huerfano County,6820
 Colorado,Jackson County,1379
 Colorado,Jefferson County,582910
 Colorado,Kiowa County,1446
 Colorado,Kit Carson County,7087
 Colorado,Lake County,7436
 Colorado,La Plata County,55638
 Colorado,Larimer County,359066
 Colorado,Las Animas County,14555
 Colorado,Lincoln County,5675
 Colorado,Logan County,21528
 Colorado,Mesa County,155703
 Colorado,Mineral County,865
 Colorado,Moffat County,13292
 Colorado,Montezuma County,25849
 Colorado,Montrose County,42679
 Colorado,Morgan County,29111
 Colorado,Otero County,18690
 Colorado,Ouray County,4874
 Colorado,Park County,17390
 Colorado,Phillips County,4530
 Colorado,Pitkin County,17358
 Colorado,Prowers County,11999
 Colorado,Pueblo County,168162
 Colorado,Rio Blanco County,6529
 Colorado,Rio Grande County,11539
 Colorado,Routt County,24829
 Colorado,Saguache County,6368
 Colorado,San Juan County,705
 Colorado,San Miguel County,8072
 Colorado,Sedgwick County,2404
 Colorado,Summit County,31055
 Colorado,Teller County,24710
 Colorado,Washington County,4817
 Colorado,Weld County,328981
 Colorado,Yuma County,9988
 Connecticut,Fairfield County,957419
 Connecticut,Hartford County,899498
 Connecticut,Litchfield County,185186
 Connecticut,Middlesex County,164245
 Connecticut,New Haven County,864835
 Connecticut,New London County,268555
 Connecticut,Tolland County,149788
 Connecticut,Windham County,116418
 Delaware,Kent County,181851
 Delaware,New Castle County,570719
 Delaware,Sussex County,237378
 District of Columbia,District of Columbia,689545
 Florida,Alachua County,278468
 Florida,Baker County,28259
 Florida,Bay County,175216
 Florida,Bradford County,28303
 Florida,Brevard County,606612
 Florida,Broward County,1944375
 Florida,Calhoun County,13648
 Florida,Charlotte County,186847
 Florida,Citrus County,153843
 Florida,Clay County,218245
 Florida,Collier County,375752
 Florida,Columbia County,69698
 Florida,DeSoto County,33976
 Florida,Dixie County,16759
 Florida,Duval County,995567
 Florida,Escambia County,321905
 Florida,Flagler County,115378
 Florida,Franklin County,12451
 Florida,Gadsden County,43826
 Florida,Gilchrist County,17864
 Florida,Glades County,12126
 Florida,Gulf County,14192
 Florida,Hamilton County,14004
 Florida,Hardee County,25327
 Florida,Hendry County,39619
 Florida,Hernando County,194515
 Florida,Highlands County,101235
 Florida,Hillsborough County,1459762
 Florida,Holmes County,19653
 Florida,Indian River County,159788
 Florida,Jackson County,47319
 Florida,Jefferson County,14510
 Florida,Lafayette County,8226
 Florida,Lake County,383956
 Florida,Lee County,760822
 Florida,Leon County,292198
 Florida,Levy County,42915
 Florida,Liberty County,7974
 Florida,Madison County,17968
 Florida,Manatee County,399710
 Florida,Marion County,375908
 Florida,Martin County,158431
 Florida,Miami-Dade County,2701767
 Florida,Monroe County,82874
 Florida,Nassau County,90352
 Florida,Okaloosa County,211668
 Florida,Okeechobee County,39644
 Florida,Orange County,1429908
 Florida,Osceola County,388656
 Florida,Palm Beach County,1492191
 Florida,Pasco County,561891
 Florida,Pinellas County,959107
 Florida,Polk County,725046
 Florida,Putnam County,73321
 Florida,St. Johns County,273425
 Florida,St. Lucie County,329226
 Florida,Santa Rosa County,188000
 Florida,Sarasota County,434006
 Florida,Seminole County,470856
 Florida,Sumter County,129752
 Florida,Suwannee County,43474
 Florida,Taylor County,21796
 Florida,Union County,16147
 Florida,Volusia County,553543
 Florida,Wakulla County,33764
 Florida,Walton County,75305
 Florida,Washington County,25318
 Georgia,Appling County,18444
 Georgia,Atkinson County,8286
 Georgia,Bacon County,11140
 Georgia,Baker County,2876
 Georgia,Baldwin County,43799
 Georgia,Banks County,18035
 Georgia,Barrow County,83505
 Georgia,Bartow County,108901
 Georgia,Ben Hill County,17194
 Georgia,Berrien County,18160
 Georgia,Bibb County,157346
 Georgia,Bleckley County,12583
 Georgia,Brantley County,18021
 Georgia,Brooks County,16301
 Georgia,Bryan County,44738
 Georgia,Bulloch County,81099
 Georgia,Burke County,24596
 Georgia,Butts County,25434
 Georgia,Calhoun County,5573
 Georgia,Camden County,54768
 Georgia,Candler County,10981
 Georgia,Carroll County,119148
 Georgia,Catoosa County,67872
 Georgia,Charlton County,12518
 Georgia,Chatham County,295291
 Georgia,Chattahoochee County,9565
 Georgia,Chattooga County,24965
 Georgia,Cherokee County,266620
 Georgia,Clarke County,128671
 Georgia,Clay County,2848
 Georgia,Clayton County,297595
 Georgia,Clinch County,6749
 Georgia,Cobb County,766149
 Georgia,Coffee County,43092
 Georgia,Colquitt County,45898
 Georgia,Columbia County,156010
 Georgia,Cook County,17229
 Georgia,Coweta County,146158
 Georgia,Crawford County,12130
 Georgia,Crisp County,20128
 Georgia,Dade County,16251
 Georgia,Dawson County,26798
 Georgia,Decatur County,29367
 Georgia,DeKalb County,764382
 Georgia,Dodge County,19925
 Georgia,Dooly County,11208
 Georgia,Dougherty County,85790
 Georgia,Douglas County,144237
 Georgia,Early County,10854
 Georgia,Echols County,3697
 Georgia,Effingham County,64769
 Georgia,Elbert County,19637
 Georgia,Emanuel County,22768
 Georgia,Evans County,10774
 Georgia,Fannin County,25319
 Georgia,Fayette County,119194
 Georgia,Floyd County,98584
 Georgia,Forsyth County,251283
 Georgia,Franklin County,23424
 Georgia,Fulton County,1066710
 Georgia,Gilmer County,31353
 Georgia,Glascock County,2884
 Georgia,Glynn County,84499
 Georgia,Gordon County,57544
 Georgia,Grady County,26236
 Georgia,Greene County,18915
 Georgia,Gwinnett County,957062
 Georgia,Habersham County,46031
 Georgia,Hall County,203136
 Georgia,Hancock County,8735
 Georgia,Haralson County,29919
 Georgia,Harris County,34668
 Georgia,Hart County,25828
 Georgia,Heard County,11412
 Georgia,Henry County,240712
 Georgia,Houston County,163633
 Georgia,Irwin County,9666
 Georgia,Jackson County,75907
 Georgia,Jasper County,14588
 Georgia,Jeff Davis County,14779
 Georgia,Jefferson County,15709
 Georgia,Jenkins County,8674
 Georgia,Johnson County,9189
 Georgia,Jones County,28347
 Georgia,Lamar County,18500
 Georgia,Lanier County,9877
 Georgia,Laurens County,49570
 Georgia,Lee County,33163
 Georgia,Liberty County,65256
 Georgia,Lincoln County,7690
 Georgia,Long County,16168
 Georgia,Lowndes County,118251
 Georgia,Lumpkin County,33488
 Georgia,McDuffie County,21632
 Georgia,McIntosh County,10975
 Georgia,Macon County,12082
 Georgia,Madison County,30120
 Georgia,Marion County,7498
 Georgia,Meriwether County,20613
 Georgia,Miller County,6000
 Georgia,Mitchell County,21755
 Georgia,Monroe County,27957
 Georgia,Montgomery County,8610
 Georgia,Morgan County,20097
 Georgia,Murray County,39973
 Georgia,Muscogee County,206922
 Georgia,Newton County,112483
 Georgia,Oconee County,41799
 Georgia,Oglethorpe County,14825
 Georgia,Paulding County,168661
 Georgia,Peach County,27981
 Georgia,Pickens County,33216
 Georgia,Pierce County,19716
 Georgia,Pike County,18889
 Georgia,Polk County,42853
 Georgia,Pulaski County,9855
 Georgia,Putnam County,22047
 Georgia,Quitman County,2235
 Georgia,Rabun County,16883
 Georgia,Randolph County,6425
 Georgia,Richmond County,206607
 Georgia,Rockdale County,93570
 Georgia,Schley County,4547
 Georgia,Screven County,14067
 Georgia,Seminole County,9147
 Georgia,Spalding County,67306
 Georgia,Stephens County,26784
 Georgia,Stewart County,5314
 Georgia,Sumter County,29616
 Georgia,Talbot County,5733
 Georgia,Taliaferro County,1559
 Georgia,Tattnall County,22842
 Georgia,Taylor County,7816
 Georgia,Telfair County,12477
 Georgia,Terrell County,9185
 Georgia,Thomas County,45798
 Georgia,Tift County,41344
 Georgia,Toombs County,27030
 Georgia,Towns County,12493
 Georgia,Treutlen County,6406
 Georgia,Troup County,69426
 Georgia,Turner County,9006
 Georgia,Twiggs County,8022
 Georgia,Union County,24632
 Georgia,Upson County,27700
 Georgia,Walker County,67654
 Georgia,Walton County,96673
 Georgia,Ware County,36251
 Georgia,Warren County,5215
 Georgia,Washington County,19988
 Georgia,Wayne County,30144
 Georgia,Webster County,2348
 Georgia,Wheeler County,7471
 Georgia,White County,28003
 Georgia,Whitfield County,102864
 Georgia,Wilcox County,8766
 Georgia,Wilkes County,9565
 Georgia,Wilkinson County,8877
 Georgia,Worth County,20784
 Hawaii,Hawaii County,200629
 Hawaii,Honolulu County,1016508
 Hawaii,Kalawao County,82
 Hawaii,Kauai County,73298
 Hawaii,Maui County,164754
 Idaho,Ada County,494967
 Idaho,Adams County,4379
 Idaho,Bannock County,87018
 Idaho,Bear Lake County,6372
 Idaho,Benewah County,9530
 Idaho,Bingham County,47992
 Idaho,Blaine County,24272
 Idaho,Boise County,7610
 Idaho,Bonner County,47110
 Idaho,Bonneville County,123964
 Idaho,Boundary County,12056
 Idaho,Butte County,2574
 Idaho,Camas County,1077
 Idaho,Canyon County,231105
 Idaho,Caribou County,7027
 Idaho,Cassia County,24655
 Idaho,Clark County,790
 Idaho,Clearwater County,8734
 Idaho,Custer County,4275
 Idaho,Elmore County,28666
 Idaho,Franklin County,14194
 Idaho,Fremont County,13388
 Idaho,Gem County,19123
 Idaho,Gooding County,15598
 Idaho,Idaho County,16541
 Idaho,Jefferson County,30891
 Idaho,Jerome County,24237
 Idaho,Kootenai County,171362
 Idaho,Latah County,39517
 Idaho,Lemhi County,7974
 Idaho,Lewis County,3533
 Idaho,Lincoln County,5127
 Idaho,Madison County,52913
 Idaho,Minidoka County,21613
 Idaho,Nez Perce County,42090
 Idaho,Oneida County,4564
 Idaho,Owyhee County,11913
 Idaho,Payette County,25386
 Idaho,Power County,7878
 Idaho,Shoshone County,13169
 Idaho,Teton County,11630
 Idaho,Twin Falls County,90046
 Idaho,Valley County,11746
 Idaho,Washington County,10500
 Illinois,Adams County,65737
 Illinois,Alexander County,5240
 Illinois,Bond County,16725
 Illinois,Boone County,53448
 Illinois,Brown County,6244
 Illinois,Bureau County,33244
 Illinois,Calhoun County,4437
 Illinois,Carroll County,15702
 Illinois,Cass County,13042
 Illinois,Champaign County,205865
 Illinois,Christian County,34032
 Illinois,Clark County,15455
 Illinois,Clay County,13288
 Illinois,Clinton County,36899
 Illinois,Coles County,46863
 Illinois,Cook County,5275541
 Illinois,Crawford County,18679
 Illinois,Cumberland County,10450
 Illinois,DeKalb County,100420
 Illinois,De Witt County,15516
 Illinois,Douglas County,19740
 Illinois,DuPage County,932877
 Illinois,Edgar County,16866
 Illinois,Edwards County,6245
 Illinois,Effingham County,34668
 Illinois,Fayette County,21488
 Illinois,Ford County,13534
 Illinois,Franklin County,37804
 Illinois,Fulton County,33609
 Illinois,Gallatin County,4946
 Illinois,Greene County,11985
 Illinois,Grundy County,52533
 Illinois,Hamilton County,7993
 Illinois,Hancock County,17620
 Illinois,Hardin County,3649
 Illinois,Henderson County,6387
 Illinois,Henry County,49284
 Illinois,Iroquois County,27077
 Illinois,Jackson County,52974
 Illinois,Jasper County,9287
 Illinois,Jefferson County,37113
 Illinois,Jersey County,21512
 Illinois,Jo Daviess County,22035
 Illinois,Johnson County,13308
 Illinois,Kane County,516522
 Illinois,Kankakee County,107502
 Illinois,Kendall County,131869
 Illinois,Knox County,49967
 Illinois,Lake County,714342
 Illinois,LaSalle County,109658
 Illinois,Lawrence County,15280
 Illinois,Lee County,34145
 Illinois,Livingston County,35815
 Illinois,Logan County,27987
 Illinois,McDonough County,27238
 Illinois,McHenry County,310229
 Illinois,McLean County,170954
 Illinois,Macon County,103998
 Illinois,Macoupin County,44967
 Illinois,Madison County,265859
 Illinois,Marion County,37729
 Illinois,Marshall County,11742
 Illinois,Mason County,13086
 Illinois,Massac County,14169
 Illinois,Menard County,12297
 Illinois,Mercer County,15699
 Illinois,Monroe County,34962
 Illinois,Montgomery County,28288
 Illinois,Morgan County,32915
 Illinois,Moultrie County,14526
 Illinois,Ogle County,51788
 Illinois,Peoria County,181830
 Illinois,Perry County,20945
 Illinois,Piatt County,16673
 Illinois,Pike County,14739
 Illinois,Pope County,3763
 Illinois,Pulaski County,5193
 Illinois,Putnam County,5637
 Illinois,Randolph County,30163
 Illinois,Richland County,15813
 Illinois,Rock Island County,144672
 Illinois,St. Clair County,257400
 Illinois,Saline County,23768
 Illinois,Sangamon County,196343
 Illinois,Schuyler County,6902
 Illinois,Scott County,4949
 Illinois,Shelby County,20990
 Illinois,Stark County,5400
 Illinois,Stephenson County,44630
 Illinois,Tazewell County,131343
 Illinois,Union County,17244
 Illinois,Vermilion County,74188
 Illinois,Wabash County,11361
 Illinois,Warren County,16835
 Illinois,Washington County,13761
 Illinois,Wayne County,16179
 Illinois,White County,13877
 Illinois,Whiteside County,55691
 Illinois,Will County,696355
 Illinois,Williamson County,67153
 Illinois,Winnebago County,285350
 Illinois,Woodford County,38467
 Indiana,Adams County,35809
 Indiana,Allen County,385410
 Indiana,Bartholomew County,82208
 Indiana,Benton County,8719
 Indiana,Blackford County,12112
 Indiana,Boone County,70812
 Indiana,Brown County,15475
 Indiana,Carroll County,20306
 Indiana,Cass County,37870
 Indiana,Clark County,121093
 Indiana,Clay County,26466
 Indiana,Clinton County,33190
 Indiana,Crawford County,10526
 Indiana,Daviess County,33381
 Indiana,Dearborn County,50679
 Indiana,Decatur County,26472
 Indiana,DeKalb County,43265
 Indiana,Delaware County,111903
 Indiana,Dubois County,43637
 Indiana,Elkhart County,207047
 Indiana,Fayette County,23398
 Indiana,Floyd County,80484
 Indiana,Fountain County,16479
 Indiana,Franklin County,22785
 Indiana,Fulton County,20480
 Indiana,Gibson County,33011
 Indiana,Grant County,66674
 Indiana,Greene County,30803
 Indiana,Hamilton County,347467
 Indiana,Hancock County,79840
 Indiana,Harrison County,39654
 Indiana,Hendricks County,174788
 Indiana,Henry County,48914
 Indiana,Howard County,83658
 Indiana,Huntington County,36662
 Indiana,Jackson County,46428
 Indiana,Jasper County,32918
 Indiana,Jay County,20478
 Indiana,Jefferson County,33147
 Indiana,Jennings County,27613
 Indiana,Johnson County,161765
 Indiana,Knox County,36282
 Indiana,Kosciusko County,80240
 Indiana,LaGrange County,40446
 Indiana,Lake County,498700
 Indiana,LaPorte County,112417
 Indiana,Lawrence County,45011
 Indiana,Madison County,130129
 Indiana,Marion County,977203
 Indiana,Marshall County,46095
 Indiana,Martin County,9812
 Indiana,Miami County,35962
 Indiana,Monroe County,139718
 Indiana,Montgomery County,37936
 Indiana,Morgan County,71780
 Indiana,Newton County,13830
 Indiana,Noble County,47457
 Indiana,Ohio County,5940
 Indiana,Orange County,19867
 Indiana,Owen County,21321
 Indiana,Parke County,16156
 Indiana,Perry County,19170
 Indiana,Pike County,12250
 Indiana,Porter County,173215
 Indiana,Posey County,25222
 Indiana,Pulaski County,12514
 Indiana,Putnam County,36726
 Indiana,Randolph County,24502
 Indiana,Ripley County,28995
 Indiana,Rush County,16752
 Indiana,St. Joseph County,272912
 Indiana,Scott County,24384
 Indiana,Shelby County,45055
 Indiana,Spencer County,19810
 Indiana,Starke County,23371
 Indiana,Steuben County,34435
 Indiana,Sullivan County,20817
 Indiana,Switzerland County,9737
 Indiana,Tippecanoe County,186251
 Indiana,Tipton County,15359
 Indiana,Union County,7087
 Indiana,Vanderburgh County,180136
 Indiana,Vermillion County,15439
 Indiana,Vigo County,106153
 Indiana,Wabash County,30976
 Indiana,Warren County,8440
 Indiana,Warrick County,63898
 Indiana,Washington County,28182
 Indiana,Wayne County,66553
 Indiana,Wells County,28180
 Indiana,White County,24688
 Indiana,Whitley County,34191
 Iowa,Adair County,7496
 Iowa,Adams County,3704
 Iowa,Allamakee County,14061
 Iowa,Appanoose County,12317
 Iowa,Audubon County,5674
 Iowa,Benton County,25575
 Iowa,Black Hawk County,131144
 Iowa,Boone County,26715
 Iowa,Bremer County,24988
 Iowa,Buchanan County,20565
 Iowa,Buena Vista County,20823
 Iowa,Butler County,14334
 Iowa,Calhoun County,9927
 Iowa,Carroll County,20760
 Iowa,Cass County,13127
 Iowa,Cedar County,18505
 Iowa,Cerro Gordo County,43127
 Iowa,Cherokee County,11658
 Iowa,Chickasaw County,12012
 Iowa,Clarke County,9748
 Iowa,Clay County,16384
 Iowa,Clayton County,17043
 Iowa,Clinton County,46460
 Iowa,Crawford County,16525
 Iowa,Dallas County,99678
 Iowa,Davis County,9110
 Iowa,Decatur County,7645
 Iowa,Delaware County,17488
 Iowa,Des Moines County,38910
 Iowa,Dickinson County,17703
 Iowa,Dubuque County,99266
 Iowa,Emmet County,9388
 Iowa,Fayette County,19509
 Iowa,Floyd County,15627
 Iowa,Franklin County,10019
 Iowa,Fremont County,6605
 Iowa,Greene County,8771
 Iowa,Grundy County,12329
 Iowa,Guthrie County,10623
 Iowa,Hamilton County,15039
 Iowa,Hancock County,10795
 Iowa,Hardin County,16878
 Iowa,Harrison County,14582
 Iowa,Henry County,20482
 Iowa,Howard County,9469
 Iowa,Humboldt County,9597
 Iowa,Ida County,7005
 Iowa,Iowa County,16662
 Iowa,Jackson County,19485
 Iowa,Jasper County,37813
 Iowa,Jefferson County,15663
 Iowa,Johnson County,152854
 Iowa,Jones County,20646
 Iowa,Keokuk County,10033
 Iowa,Kossuth County,14828
 Iowa,Lee County,33555
 Iowa,Linn County,230299
 Iowa,Louisa County,10837
 Iowa,Lucas County,8634
 Iowa,Lyon County,11934
 Iowa,Madison County,16548
 Iowa,Mahaska County,22190
 Iowa,Marion County,33414
 Iowa,Marshall County,40105
 Iowa,Mills County,14484
 Iowa,Mitchell County,10565
 Iowa,Monona County,8751
 Iowa,Monroe County,7577
 Iowa,Montgomery County,10330
 Iowa,Muscatine County,43235
 Iowa,O'Brien County,14182
 Iowa,Osceola County,6192
 Iowa,Page County,15211
 Iowa,Palo Alto County,8996
 Iowa,Plymouth County,25698
 Iowa,Pocahontas County,7078
 Iowa,Polk County,492401
 Iowa,Pottawattamie County,93667
 Iowa,Poweshiek County,18662
 Iowa,Ringgold County,4663
 Iowa,Sac County,9814
 Iowa,Scott County,174669
 Iowa,Shelby County,11746
 Iowa,Sioux County,35872
 Iowa,Story County,98537
 Iowa,Tama County,17135
 Iowa,Taylor County,5896
 Iowa,Union County,12138
 Iowa,Van Buren County,7203
 Iowa,Wapello County,35437
 Iowa,Warren County,52403
 Iowa,Washington County,22565
 Iowa,Wayne County,6497
 Iowa,Webster County,36999
 Iowa,Winnebago County,10679
 Iowa,Winneshiek County,20070
 Iowa,Woodbury County,105941
 Iowa,Worth County,7443
 Iowa,Wright County,12943
 Kansas,Allen County,12526
 Kansas,Anderson County,7836
 Kansas,Atchison County,16348
 Kansas,Barber County,4228
 Kansas,Barton County,25493
 Kansas,Bourbon County,14360
 Kansas,Brown County,9508
 Kansas,Butler County,67380
 Kansas,Chase County,2572
 Kansas,Chautauqua County,3379
 Kansas,Cherokee County,19362
 Kansas,Cheyenne County,2616
 Kansas,Clark County,1991
 Kansas,Clay County,8117
 Kansas,Cloud County,9032
 Kansas,Coffey County,8360
 Kansas,Comanche County,1689
 Kansas,Cowley County,34549
 Kansas,Crawford County,38972
 Kansas,Decatur County,2764
 Kansas,Dickinson County,18402
 Kansas,Doniphan County,7510
 Kansas,Douglas County,118785
 Kansas,Edwards County,2907
 Kansas,Elk County,2483
 Kansas,Ellis County,28934
 Kansas,Ellsworth County,6376
 Kansas,Finney County,38470
 Kansas,Ford County,34287
 Kansas,Franklin County,25996
 Kansas,Geary County,36739
 Kansas,Gove County,2718
 Kansas,Graham County,2415
 Kansas,Grant County,7352
 Kansas,Gray County,5653
 Kansas,Greeley County,1284
 Kansas,Greenwood County,6016
 Kansas,Hamilton County,2518
 Kansas,Harper County,5485
 Kansas,Harvey County,34024
 Kansas,Haskell County,3780
