name,address,city,state,long,lat
Decatur Health Systems Hospital,810 West Columbia Street,Oberlin,KS,-100.53839892900,39.81580031960
Miami County Medical Center,2100 Baptiste Drive,Paola,KS,-94.84909820560,38.56927490230
Hillsboro Community Hospital,101 Industrial Road,Hillsboro,KS,-97.18872781220,38.36187020170
Wesley Medical Center,550 North Hillside Street,Wichita,KS,-97.29818611950,37.69524376340
Washington County Hospital,304 East 3rd Street,Washington,KS,-97.04586600020,39.81812700020
Norton County Hospital,102 East Holme Street,Norton,KS,-99.88810837270,39.83796108410
Saint Luke Hospital,535 South Freeborn Street,Marion,KS,-97.01036084170,38.34284689130
Greeley County Hospital,506 3rd Street,Tribune,KS,-101.74940600000,38.47038799960
Susan B Allen Memorial Hospital,720 West Central Avenue,El Dorado,KS,-96.85852813770,37.81842422450
Cheyenne County Hospital,210 West 1st Street,Saint Francis,KS,-101.80335200000,39.77133600030
Phillips County Hospital,1150 State Street,Phillipsburg,KS,-99.31366943550,39.75527980030
Community Memorial Healthcare Hospital,708 North 18th Street,Marysville,KS,-96.63542899960,39.84857900020
Meadowbrook Rehabilitation Hospital,427 West Main Street,Gardner,KS,-94.93775939940,38.81003952010
Trego County - Lemke Memorial Hospital,320 North 13th Street,WaKeeney,KS,-99.87104800010,39.02780400040
Colmery - O'Neil Veterans Affairs Medical Center,2200 Southwest Gage Boulevard,Topeka,KS,-95.72280000010,39.02617000010
Wesley Woodlawn Hospital,2610 North Woodlawn Street,Wichita,KS,-97.26066899960,37.73124599960
Newman Regional Health,1201 West 12th Avenue,Emporia,KS,-96.19552191120,38.41156707070
Lane County Hospital,235 West Vine Street,Dighton,KS,-100.46917000000,38.48016699950
Ellsworth County Medical Center,1604 Aylward Avenue,Ellsworth,KS,-98.21972999960,38.74270500000
Ashland Health Center,625 Kentucky Street,Ashland,KS,-99.77994573500,37.19018568870
Smith County Memorial Hospital,921 East US Highway 36,Smith Center,KS,-98.77191783820,39.78341879550
Citizens Medical Center,100 East College Drive,Colby,KS,-101.04439544700,39.37868881210
Minneola District Hospital,212 South Main Street,Minneola,KS,-100.01304600100,37.44153200000
Lindsborg Community Hospital,605 West Lincoln Street,Lindsborg,KS,-97.68344099970,38.57288399970
Sheridan County Health Complex,826 18th Street,Hoxie,KS,-100.43173900000,39.35439500000
Hiawatha Community Hospital,300 Utah Street,Hiawatha,KS,-95.53078600020,39.85245199970
Allen County Regional Hospital,3066 North Kentucky Street,Iola,KS,-95.39214299990,37.94878799980
Edwards County Medical Center,620 West 8th Street,Kinsley,KS,-99.42011399980,37.92122700010
Greenwood County Hospital,100 West 16th Street,Eureka,KS,-96.29361799970,37.83565900000
Kansas Spine and Specialty Hospital,3333 North Webb Road,Wichita,KS,-97.22732899950,37.74354500050
Stevens County Hospital,1006 South Jackson Street,Hugoton,KS,-101.34927500000,37.17124699970
Hays Medical Center,2220 Canterbury Drive,Hays,KS,-99.29624938980,38.88058471640
Gove County Medical Center,520 West 5th Street,Quinter,KS,-100.24064183200,39.06756364460
Sumner County Hospital,601 South Osage Street,Caldwell,KS,-97.61022949210,37.02618026720
Meade District Hospital,510 East Carthage Street,Meade,KS,-100.33403000000,37.28661000020
Doctors Hospital,4901 College Boulevard,Leawood,KS,-94.64372253440,38.92705917330
Stormont Vail Hospital,1500 Southwest 10th Avenue,Topeka,KS,-95.69641876230,39.05205535900
Western Plains Medical Complex,3001 Avenue A,Dodge City,KS,-100.01736500000,37.78627800050
Anderson County Hospital,421 South Maple Street,Garnett,KS,-95.25163075420,38.27968419720
Lincoln County Hospital,624 North 2nd Street,Lincoln,KS,-98.14401805430,39.04541515900
University of Kansas Medical Center,3901 Rainbow Boulevard,Kansas City,KS,-94.60922601970,39.05586336050
Via Christi Hospital,1 Mount Carmel Way,Pittsburg,KS,-94.68405425510,37.38032865300
Lawrence Memorial Hospital,325 Maine Street,Lawrence,KS,-95.24851226840,38.97890090950
William Newton Hospital,1300 East 5th Avenue,Winfield,KS,-96.98200225830,37.24521636910
Holton Community Hospital,1110 Columbine Drive,Holton,KS,-95.75168000010,39.48007999990
Cloud County Health Center,1100 Highland Drive,Concordia,KS,-97.67359924330,39.56542205780
Mercy Hospital - Fort Scott,401 Woodland Hills Boulevard,Fort Scott,KS,-94.71134185820,37.80610656710
Harper Hospital District Five,700 West 13th Street,Harper,KS,-98.03343200710,37.28437805140
Stafford County Hospital,502 South Buckeye Street,Stafford,KS,-98.59547400030,37.95665900020
Newton Medical Center,600 Medical Center Drive,Newton,KS,-97.33319600010,38.02418000030
Sedan City Hospital,300 North Street,Sedan,KS,-96.18894700010,37.13392099990
Wesley Rehabilitation Hospital,8338 West 13th Street North,Wichita,KS,-97.43890380880,37.70962142970
Nemaha Valley Community Hospital,1600 Community Drive,Seneca,KS,-96.07811800030,39.83708500030
Sabetha Community Hospital,603 North 14th Street,Sabetha,KS,-95.80810368970,39.89891754030
Stanton County Hospital,404 North Chestnut Street,Johnson,KS,-101.75009156900,37.57408846680
Hanover Hospital,205 South Hanover Street,Hanover,KS,-96.87521516340,39.89108125980
Via Christi Clinic,1105 Sunset Avenue,Manhattan,KS,-96.59021758990,39.19181060790
Ascension Via Christi Behavioral Health Center,3600 East Harry Street,Wichita,KS,-97.29261489560,37.66583047130
Great Bend Regional Hospital,514 Cleveland Street,Great Bend,KS,-98.79046630810,38.35638046230
Hutchinson Regional Medical Center,1701 East 23rd Avenue,Hutchinson,KS,-97.89203899950,38.07745699950
Shawnee Mission Health - Prairie Star,23401 Prairie Star Pkwy,Lenexa,KS,-94.85685579470,38.95481744280
Labette Health Hospital,1902 South US Highway 59,Parsons,KS,-95.26454311200,37.32110504580
Medicine Lodge Memorial Hospital,710 North Walnut Street,Medicine Lodge,KS,-98.57734260780,37.28941875060
Irwin Army Community Hospital,650 Huebner Road,Fort Riley,KS,-96.76831900040,39.08329100050
Prairie View Inpatient Psychiatric Hospital,1901 East 1st Street,Newton,KS,-97.31370927270,38.04142884910
Kiowa County Memorial Hospital,721 West Kansas Avenue,Greensburg,KS,-99.30150900030,37.60557100010
Larned State Hospital,1301 State Highway 264,Larned,KS,-99.15093038470,38.17150012580
