name,city,longitude,latitude
Sunset Memorial Gardens Cemetery,Garden City,-100.7933,37.959191
Potterville Cemetery,Osborne,-98.65766299,39.241736
Grant Cemetery,Alton,-98.971022,39.524401
Iowa Cemetery,Downs,-98.56413999,39.386733
Round Mound Cemetery,Naomi,-98.96382099,39.262866
Evergreen Cemetery,Easton,-95.13346199,39.383152
Little Stranger Cemetery,Leavenworth,-94.97389578,39.24524243
Naomi Cemetery,Naomi,-99.01597499,39.189895
Prairie Cemetery,Kansas City,-94.81707522,39.14395979
White Rock Scandinavian Evangelical Lutheran Cemetery,Webber,-98.04338799,39.899191
Mount Hope Cemetery,Mount Hope,-97.67476999,37.854734
Arnold Cemetery,Utica,-100.047459,38.647305
Maple Grove Cemetery,Wichita,-97.29648599,37.703962
Ascension Cemetery,Wichita,-97.25273735,37.76811485
Highland Cemetery,Prairie Village,-94.64478699,39.011302
Bridgeport Cemetery,Assaria,-97.60705216,38.63772336
Woolford Farm Horse Cemetery,Prairie Village,-94.63319999,38.9822
Langley Cemetery,Easton,-95.16117299,39.361492
Swedish Lutheran Cemetery,Gove,-100.608963,38.765376
Emanuel Lutheran Cemetery,Ogallah,-99.74428399,38.880567
Rooker Cemetery,Cawker City,-98.46657999,39.596563
Strang Mausoleum,Lenexa,-94.74167999,38.966998
Fairview Cemetery,Valley Center,-97.24531899,37.819457
Christ of the King Cemetery,WaKeeney,-99.87044099,39.016662
Saint Columbine Cemetery,Edgerton,-94.99219199,38.756718
Canaan Cemetery,Satanta,-101.016902,37.583778
Eagle Cemetery,Leavenworth,-95.12404199,39.186405
Red Top Cemetery,Quinter,-100.24371,38.944618
Woodlawn Cemetery,Kansas City,-94.63162399,39.130559
Monticello Cemetery,Shawnee,-94.83569999,38.995138
Liberty Cemetery,Chapman,-97.02778,39.089639
Van Winkler Cemetery,Leavenworth,-95.03446299,39.379015
Prairie Chapel Cemetery,Utica,-100.073299,38.594511
Saint Johns Cemetery,Kansas City,-94.66884699,39.116115
Linwood Pioneer Cemetery,Leawood,-94.62710299,38.957269
Lutheran Cemetery,Wichita,-97.24440999,37.766502
Union Cemetery,Derby,-97.15364999,37.526992
Mount Sidney Cemetery,Linwood,-95.02397099,39.001876
Eldridge Cemetery,Valley Center,-97.53706438,37.81599581
Pleasant Ridge Cemetery,Overland Park,-94.73285399,38.884139
Banner Cemetery,Satanta,-100.833348,37.359343
Saint Paul Cemetery,Herington,-96.98195899,38.735839
Burr Oak Cemetery,Burr Oak,-98.285052,39.865291
Mount Calvary Cemetery,Kansas City,-94.67736754,39.11813499
Prairie Mound Cemetery,Solomon,-97.35272599,38.919665
Crystal Plains Cemetery,Portis,-98.67352922,39.69101353
Lockhart Cemetery,Meade,-100.31531,37.339103
Christian Cemetery,Harper,-98.00662999,37.268468
Waldron Cemetery,Waldron,-98.16501699,37.00624
Freeport Cemetery,Freeport,-97.85725399,37.203149
Springdale Cemetery,McLouth,-95.14162425,39.26699401
Mount Olive Cemetery,Smith Center,-99.06587099,40.001323
Waco Cemetery,Haysville,-97.34255199,37.524463
Pleasantview Cemetery,Palco,-99.51333299,39.23367
Kansas Veterans' Cemetery at Fort Dodge,Dodge City,-99.93035858,37.7314152
Pleasant Ridge Cemetery,Kirin,-99.12243486,39.59627217
Old Logan Cemetery,Logan,-99.573105,39.67251464
Lone Star Cemetery,Bison,-99.21787846,38.53761465
Colony Cemetery,Dorrance,-98.60470181,38.82766744
Dudley Cemetery,Satanta,-100.981,37.454191
Lutheran Cemetery,Osborne,-98.49034299,39.373442
Laurel Hill Cemetery,Formoso,-97.96106199,39.841524
Arkalon Cemetery,Kismet,-100.81377,37.134535
Oak Hill Cemetery,Easton,-95.094468,39.382998
Abilene Cemetery,Abilene,-97.22205599,38.933572
Ionia Cemetery,Mankato,-98.35757999,39.67692
St. George Cemetery,Victoria,-99.14243895,38.84610739
Woodruff Cemetery,Phillipsburg,-99.43625251,39.98755435
Silent Land Cemetery,Spearville,-99.75360462,37.86893092
Sacred Heart Cemetery,Catherine,-99.13532799,38.961433
Pleasant View Cemetery,Phillipsburg,-99.17980444,39.79016683
Emmanuel Lutheran Cemetery,Phillipsburg,-99.43588199,39.799468
St. Lawrence Catholic Cemetery,Jetmore,-99.90108465,38.06669588
Blooming Grove Cemetery,Bunker Hill,-98.69689383,38.81303496
Brookshire Cemetery,Udall,-97.04296899,37.452627
Mount Vernon Cemetery,Burden,-96.69102099,37.40281
Greenfield Cemetery,Newton,-97.32911389,38.22529538
Ireland Cemetery,Caney,-96.00991671,37.02033519
Blankenship Cemetery,Rosalia,-96.6243488,37.78151667
Prarie Grove Cemetery,Lincoln,-98.22803075,39.14783153
Patterson Cemetery,Hunter,-98.33514897,39.1761228
Elm Grove Cemetery,Bonner Springs,-94.94454899,39.05835019
Zion Lutheran Cemetery,WaKeeney,-99.89274,38.878128
St. Mary's Cemetery,Brownell,-99.64109699,38.5667
Prairiedale Cemetery,Abilene,-97.2656,39.046826
Lyona Cemetery,Junction City,-96.92707165,38.86297326
Schreiner Cemetery,Dorrance,-98.57781471,38.75340841
Conger Cemetery,Plainville,-99.24843199,39.198066
Sylvia Cemetery,Sylvia,-98.38881699,37.956077
Bethlehem Cemetery,Columbus,-94.77701199,37.193493
H and S Cemetery,Argonia,-97.83038869,37.2390036
Fly Creek Cemetery,Chetopa,-94.984708,37.089535
Stockholm Cemetery,Weskan,-101.938521,38.727454
Mulkey Cemetery,Garden Plain,-97.6869766,37.70694513
Saint Anthony Cemetery,Garden Plain,-97.68462899,37.653995
Highland Cemetery,Wichita,-97.30073899,37.70266
Seltzer Springs Cemetery,Wichita,-97.16653086,37.66521258
Peotone Cemetery,Viola,-97.68013699,37.510538
Bixler Cemetery,Kismet,-100.705247,37.039302
Green Ridge Cemetery,Wakefield,-97.14382999,39.120036
Christ Cemetery,Gaylord,-98.85535599,39.6989
Detroit Cemetery,Abilene,-97.12515834,38.94384728
Indian Hill Cemetery,Chapman,-97.03340799,38.97097
Brush Creek Cemetery,Columbus,-94.77356399,37.117562
Smilie Cemetery,Mulberry,-94.64956003,37.55032973
Walnut Hill Cemetery,Redfield,-94.92463284,37.88521972
Westlaw Cemetery,Kansas City,-94.67523599,39.111115
Stony Point Cemetery,Kansas City,-94.76001404,39.0953168
North Oak Creek Cemetery,Gaylord,-98.55555099,39.690569
Prairie Center Cemetery,Eudora,-95.02875199,38.892284
Tomahawk Cemetery,Overland Park,-94.667325,38.887063
South Oak Creek Cemetery,Gaylord,-98.54160799,39.643937
Mount Calvary Cemetery,Solomon,-97.38947099,38.924722
Saint Patricks Cemetery,Chapman,-97.00634018,38.98150673
Edgerton Cemetery,Edgerton,-95.00196099,38.752704
Pleasant View Cemetery,Fort Scott,-94.73844999,37.692761
Hazen Cemetery,Pleven,-98.36201499,37.965292
Cunningham Cemetery,Cunningham,-98.440852,37.630407
Jones Cemetery,Chapman,-97.08640499,39.070275
Belmont Cemetery,Phillipsburg,-99.4566957,39.69784793
Aurora Cemetery,Natoma,-99.08476169,39.27805751
Plainview Cemetery,Logan,-99.43901946,39.60444619
Maple Grove Cemetery,Dodge City,-100.0497723,37.75900077
St. Francis Cemetery,Munjor,-99.2690365,38.80599465
Palco Cemetery,Palco,-99.56770424,39.26381681
Old Pleasant View Cemetery,Weir,-94.67755499,37.259615
Mills Cemetery,Girard,-94.99539499,37.543634
Walnut Hill Cemetery,Kingman,-98.09700599,37.651682
Dumbauld Cemetery,McCune,-95.079248,37.420814
Spring Hill Cemetery,Spring Hill,-94.83577299,38.746662
Marble Grove Cemetery,Valley Center,-97.32646899,37.839578
Old Quindaro Cemetery,Kansas City,-94.6615424,39.15491508
Mount Calvary Cemetery,Hope,-97.21502299,38.638894
Immanuel Cemetery,Dorrance,-98.61515195,38.74067253
Iowa Union Cemetery,Phillipsburg,-99.37016218,39.85710286
Englewood Cemetery,Englewood,-99.97852499,37.06992
Greenwood Cemetery,Phillipsburg,-99.24065889,39.88592492
Mount Hope Cemetery,Ellis,-99.54968199,38.933897
Bunker Hill Cemetery,Bunker Hill,-98.68926057,38.88537159
St. Joseph Cemetery,Bison,-99.32523619,38.6551729
Zurich Cemetery,Zurich,-99.43822891,39.22730187
Holy Cross Cemetery,Spearville,-99.63734499,37.787519
Eureka Cemetery,Plainville,-99.45578048,39.31375254
St. Joseph Cemetery,Dorrance,-98.58570741,38.85605596
Mount Hope Cemetery,Enterprise,-97.11290499,38.886719
Maple Grove Cemetery,Tonganoxie,-95.08982599,39.091733
Bell Cemetery,Gaylord,-98.70979499,39.647789
Pleasantdale Cemetery,Otis,-99.06869817,38.65314434
Cross Plains Cemetery,Russell,-98.76385378,38.72021961
Evergreen Cemetery,Offerle,-99.57615499,37.898619
St. Mary's Cemetery,Bison,-99.18023286,38.64615956
Round Prairie Cemetery,Atchison,-95.07413299,39.41222
High Prairie Cemetery,Leavenworth,-95.01702999,39.272313
Saint Mary's Cemetery,Garden Plain,-97.64279805,37.70654332
Olive Branch Cemetery,Gaylord,-99.04704999,39.741304
Eminence Cemetery,Garden City,-100.518011,38.14652
Chapel Hill Memorial Gardens Cemetery,Kansas City,-94.79575494,39.11182595
Eminence Cemetery,Smith Center,-98.80090799,39.943347
Balch Cemetery,Formoso,-97.98067299,39.797886
Attebery Cemetery,Wellington,-97.43869299,37.151301
Mount Vernon Cemetery,Elk City,-96.11129198,37.16771994
Mulvane Cemetery,Mulvane,-97.20688699,37.472999
Patton Cemetery,Dexter,-96.66196099,37.064558
Lena Valley Cemetery,Madison,-96.03105799,38.162083
Bryant Cemetery,Atlanta,-96.73450299,37.555432
Adams Cemetery,Eudora,-95.03838799,38.857965
Hulpieu Homestead Cemetery,Garden City,-100.857382,38.062523
Saint Paul Lutheran Cemetery,Cheney,-97.74278437,37.66311762
Immanuel Lutheran Cemetery,Herington,-96.98425326,38.73930229
Ransom Cemetery,Ransom,-99.91595599,38.631681
Harmony Cemetery,Abilene,-97.26330067,38.79862182
Baker Township Cemetery,Quinter,-100.224121,39.073122
North Star Cemetery,Ness City,-99.99124999,38.5221
Price Cemetery,Lebanon,-98.59895499,39.798623
Bristow Cemetery,Osborne,-98.75090999,39.350566
Lockwood Cemetery,Glade,-99.33315361,39.59646671
Fairport Cemetery,Paradise,-99.02012181,39.04586781
Ridenour Cemetery,Dodge City,-100.1717551,37.83954118
Trinity Cemetery,Russell,-98.88023459,38.74703415
Fairmount Cemetery,Jetmore,-99.89933896,38.06663387
Friends Cemetery,La Crosse,-99.36507301,38.57035754
Slate Cemetery,Stockton,-99.52810009,39.48794684
Murphy Cemetery,Lenexa,-94.88191899,38.970887
Saint Francis Cemetery,Gaylord,-98.98186399,39.632863
Bonner Springs Cemetery,Bonner Springs,-94.88011335,39.07130913
Pleasant Hill Cemetery,Minneapolis,-97.80777999,39.118211
Leavenworth National Cemetery,Leavenworth,-94.88819999,39.2783
Cheney Pioneer Cemetery,Cheney,-97.78684699,37.647367
Kirwin Cemetery,Kirwin,-99.14274199,39.680136
Snake Creek Ranch Cemetery,Ashland,-99.72764545,37.00300403
St. Andrews Cemetery,Wright,-99.88715406,37.77930085
West Liberty Cemetery,Fort Scott,-94.65740199,37.978395
Cumberland Cemetery,Douglass,-96.94503499,37.595297
Lerado Cemetery,Niotaze,-96.07416499,37.007324
Riley Memorial Cemetery,Sedan,-96.08275499,37.141428
Virgil Cemetery,Virgil,-96.00375962,37.95951192
Trail Creek Cemetery,Lincoln,-98.27489097,39.1473597
Spillman Cemetery,Sylvan Grove,-98.37650151,39.15490459
Green Valley Cemetery,Lucas,-98.46692392,39.2192868
Rosette Cemetery,Sylvan Grove,-98.41858295,39.08910482
Pottersburg Cemetery,Sylvan Grove,-98.35332561,39.11509353
Free Mission Cemetery,Lincoln,-98.26135071,39.08148187
Pilgrims Home Cemetery,Hope,-97.08557299,38.725838
Shawnee Township Cemetery,Kansas City,-94.70477899,39.076991
Victor Cemetery,Naomi,-98.86174899,39.238066
Gove Cemetery,Gove,-100.484015,38.945869
Old Order German Baptist Cemetery,Quinter,-100.205143,39.029847
Mount Zion Cemetery,Leavenworth,-94.977743,39.330277
Highland Park Cemetery,Kansas City,-94.67534499,39.114613
Chance Cemetery,Linwood,-95.015802,39.001948
Friendship Friends Church Cemetery,Columbus,-95.02581799,37.223136
Star Cemetery,Columbus,-94.96005899,37.27762
Fairlawn Cemetery,Hutchinson,-97.88699599,38.045845
Garrison Cemetery,Oswego,-95.05135199,37.200896
Old Arcadia Cemetery,Arcadia,-94.62698699,37.653759
West Plains Cemetery,Fort Scott,-94.76871661,37.87800618
Cherokee Cemetery,Chetopa,-95.05053199,37.151297
Hosey Hill Cemetery,Weir,-94.80962799,37.312883
Forest Park Cemetery,Anthony,-98.01913399,37.147589
Garden Valley Cemetery,Moundridge,-97.49923447,38.12336324
Saint Mary's Cemetery,Fort Scott,-94.74079599,37.842263
Mound Cemetery,Galena,-94.61884297,37.1820929
Evans Cemetery,Montezuma,-100.4787315,37.53272585
Boston Mills - Cox Cemetery,Galena,-94.68352199,37.107695
Saint Johns Cemetery,Viola,-97.55546904,37.56433179
Webb Hill Cemetery,Smith Center,-98.50505899,39.951958
St. Joseph Cemetery,Oakley,-100.831319,39.132998
El Paso Cemetery,Derby,-97.26320192,37.54182124
Hanston Mennonite Church,Hanston,-99.76230993,38.14479661
Dagenett Cemetery,Ransom,-99.89134838,38.58827374
Utica Cemetery,Utica,-100.158224,38.646085
Pleasant Hill Cemetery,Arlington,-98.23423299,37.805849
Salem Cemetery,Nickerson,-98.1409509,38.11616839
Marion Cemetery,Redfield,-94.92496999,37.797264
LaRue Cemetery,Hallowell,-94.94107199,37.21895
Little River Township Cemetery,Buhler,-97.72119699,38.137122
Dunlap Cemetery,Rose Hill,-97.09820114,37.59991339
Grainfield Cemetery,Grainfield,-100.473652,39.118078
Pleasant View Cemetery,Shawnee,-94.72324199,39.018047
Farmington Cemetery,Abilene,-97.18633199,38.870793
Saint Joseph Cemetery,Andale,-97.63019199,37.79487
Mount Calvary Cemetery,Lansing,-94.92163099,39.265279
Mount Olivet Cemetery,Leavenworth,-94.90385199,39.281112
Murdock Cemetery,Murdock,-97.93525652,37.62309876
Park Cemetery,Columbus,-94.80986899,37.164438
Royer Cemetery,Newton,-97.40734708,38.01425047
McCauley Cemetery,Fowler,-100.21586,37.460831
Durham Park Cemetery,Durham,-97.22391399,38.464732
Eureka Cemetery,Gypsum,-97.45501641,38.57647324
Lone Tree Cemetery,Galva,-97.50005332,38.284751
Corzine Cemetery,Caldwell,-97.52929699,37.092499
Chikaskia Cemetery,Wellington,-97.57491799,37.213383
Calvary Cemetery,Leon,-96.94572399,37.70052673
Bethel Cemetery,Kansas City,-94.76195995,39.14258078
Weskan Cemetery,Weskan,-101.946315,38.857962
Baldwin Cemetery,Glasco,-97.91132699,39.205968
Hillcrest Cemetery,Derby,-97.22030478,37.51985449
Keystone Cemetery,Abilene,-97.29184799,39.118736
Oriole Cemetery,Smith Center,-98.59410599,39.936595
Fairview Pioneer Cemetery,Moundridge,-97.51823891,38.05735319
Johnson Cemetery,Ensign,-100.215433,37.7082714
Hayes Cemetery,Sylvia,-98.40923899,38.045569
Dayton Cemetery,Mapleton,-94.8707306,37.95742853
Harmony Cemetery,Leon,-96.66943499,37.723327
Shawnee Cemetery,Shawnee,-94.72306699,39.019231
Fall Creek Cemetery,Leavenworth,-95.08791499,39.224325
Quindaro Cemetery,Kansas City,-94.672548,39.129595
County Poor Farm Cemetery,Columbus,-94.79603399,37.183037
Moore Cemetery,Columbus,-94.91843299,37.098881
Walton Cemetery,Walton,-97.25409699,38.130623
Hiattville Cemetery,Fort Scott,-94.87920399,37.719106
Rigney Cemetery,McCune,-94.99428699,37.339404
Turon Cemetery,Turin,-98.44662599,37.798046
Dockery Cemetery,Baxter Springs,-94.79554341,37.07905073
Pleasant View Cemetery,Baxter Springs,-94.75799199,37.06721
Clarksburg Cemetery,Fort Scott,-94.64847448,37.76206658
Sherman Cemetery,Columbus,-95.05659399,37.254988
Harper Cemetery,Harper,-98.01839399,37.296408
Bonham Cemetery,Anthony,-98.1526568,37.10147199
Pleasant Valley Cemetery,Fort Scott,-94.81513435,37.75044122
Oak Hill Cemetery,Galena,-94.64744999,37.095895
Rural Township Cemetery,Cunningham,-98.40149899,37.629769
Highland Park Cemetery,Pittsburg,-94.70282699,37.383681
Frogge Cemetery,McCune,-95.07756991,37.435356
Mitchell Cemetery,Hutchinson,-97.97698191,38.11372474
Mount Olive Cemetery,Pittsburg,-94.697629,37.394595
Fowler Cemetery,Arcadia,-94.70192199,37.663738
McKee Cemetery,Columbus,-95.01438799,37.215436
Howard Cemetery,Arcadia,-94.70079599,37.674211
Boulware Cemetery,Bronson,-95.02347199,38.026169
Pine Lawn Cemetery,Fort Scott,-94.71357399,37.713377
Glendale Cemetery,Turin,-98.39863399,37.90425299
Salem - Friedhof Cemetery,Button,-98.40590099,38.465566
Immanuel Cemetery,Chase,-98.44283099,38.37016726
Iowa Cemetery,Girard,-94.94202917,37.58650792
Ferris Cemetery,Baxter Springs,-94.77269099,37.046137
Fort Scott National Cemetery,Fort Scott,-94.693622,37.820755
Morris Cemetery,Mapleton,-94.89329999,37.980591
Nichols Cemetery,Spivey,-98.24623599,37.457231
Lone Oak Cemetery,Asbury,-94.64440099,37.302832
St. Louis Cemetery,Murdock,-97.93672199,37.681403
Peace Cemetery,Abbyville,-98.233585,38.05793
Dresden Cemetery,Cunningham,-98.447022,37.702795
Sterling Cemetery,Sterling,-98.19912299,38.218916
Dove Cemetery,Columbus,-94.982738,37.163952
Hill City Cemetery,Hill City,-99.84510728,39.39449524
Devizes Cemetery,Norton,-100.05949,39.980112
Wild Horse Township Cemetery,Bogue,-99.68738277,39.34378737
Hartland Cemetery,Lakin,-101.359197,37.893013
Sunnyvale Cemetery,Syracuse,-101.9802124,37.91371027
Studley Cemetery,Hoxie,-100.162694,39.35671643
Leland Cemetery,Penokee,-100.015557,39.225382
Selden Cemetery,Selden,-100.554588,39.53806
Norcatur Cemetery,Norcatur,-100.178504,39.84302
Cope Cemetery,Norton,-99.95014099,39.783771
Whitfield Cemetery,Logan,-99.70541299,39.553145
McFarland Cemetery,Bogue,-99.66650099,39.46584
Brush Creek Cemetery,Penokee,-99.97439099,39.301315
White Cemetery,Norcatur,-100.30153,39.937228
Bow Creek Cemetery,Hoxie,-100.2570021,39.42214103
Roscoe Cemetery,Lenora,-99.76987199,39.496025
St. Anthony Cemetery,Morland,-100.080719,39.189116
Oberlin Cemetery,Oberlin,-100.5156193,39.82589121
Liverpool Cemetery,Johnson,-101.6076584,37.43184189
Immanuel Cemetery,Hoxie,-100.4793652,39.43406707
Mount Hope Cemetery,Almena,-99.74037699,39.884734
Mount Olive Cemetery,Bogue,-99.69384599,39.393534
Traer Cemetery,Oberlin,-100.645423,39.92992
Coolidge Cemetery,Coolidge,-101.9994365,38.05757491
Fagan Cemetery,Bogue,-99.73269243,39.36375259
St. Francis Cemetery,Hoxie,-100.460049,39.354539
Lenora South Cemetery,Lenora,-100.002947,39.595292
Deer Field Cemetery,Deerfield,-101.1213771,37.99518633
Carlson Cemetery,Almena,-99.72046899,39.92936699
Penokee Cemetery,Penokee,-99.97303999,39.342485
Menno Cemetery,Johnson City,-101.5640942,37.79450072
Mitchell Cemetery,Johnson,-101.744061,37.686681
Mount Pleasant Community Cemetery,Hoxie,-100.163928,39.25486699
Bassettville Cemetery,Selden,-100.721811,39.706203
Anderson Cemetery,Morland,-100.09808,39.407913
Morland Township Cemetery,Palco,-99.69839104,39.2263303
Manter Cemetery,Manter,-101.897674,37.519461
Fairview Cemetery,Almena,-99.69444599,39.987655
Prairie Dale Cemetery,Logan,-99.62047999,39.561633
