state,county,population
 Alaska,Southeast Fairbanks Census Area,"6,808"
 Alaska,Wrangell City and Borough,"2,127"
 Alaska,Yakutat City and Borough,662
 Alaska,Yukon-Koyukuk Census Area,"5,343"
 Arizona,Apache County,"66,021"
 Arizona,Cochise County,"125,447"
 Arizona,Coconino County,"145,101"
 Arizona,Gila County,"53,272"
 Arizona,Graham County,"38,533"
 Arizona,Greenlee County,"9,563"
 Arizona,La Paz County,"16,557"
 Arizona,Maricopa County,"4,420,568"
 Arizona,Mohave County,"213,267"
 Arizona,Navajo County,"106,717"
 Arizona,Pima County,"1,043,433"
 Arizona,Pinal County,"425,264"
 Arizona,Santa Cruz County,"47,669"
 Arizona,Yavapai County,"236,209"
 Arizona,Yuma County,"203,881"
 Arkansas,Arkansas County,"17,149"
 Arkansas,Ashley County,"19,062"
 Arkansas,Baxter County,"41,627"
 Arkansas,Benton County,"284,333"
 Arkansas,Boone County,"37,373"
 Arkansas,Bradley County,"10,545"
 Arkansas,Calhoun County,"4,739"
 Arkansas,Carroll County,"28,260"
 Arkansas,Chicot County,"10,208"
 Arkansas,Clark County,"21,446"
 Arkansas,Clay County,"14,552"
 Arkansas,Cleburne County,"24,711"
 Arkansas,Cleveland County,"7,550"
 Arkansas,Columbia County,"22,801"
 Arkansas,Conway County,"20,715"
 Arkansas,Craighead County,"111,231"
 Arkansas,Crawford County,"60,133"
 Arkansas,Crittenden County,"48,163"
 Arkansas,Cross County,"16,833"
 Arkansas,Dallas County,"6,482"
 Arkansas,Desha County,"11,395"
 Arkansas,Drew County,"17,350"
 Arkansas,Faulkner County,"123,498"
 Arkansas,Franklin County,"17,097"
 Arkansas,Fulton County,"12,075"
 Arkansas,Garland County,"100,180"
 Arkansas,Grant County,"17,958"
 Arkansas,Greene County,"45,736"
 Arkansas,Hempstead County,"20,065"
 Arkansas,Hot Spring County,"33,040"
 Arkansas,Howard County,"12,785"
 Arkansas,Independence County,"37,938"
 Arkansas,Izard County,"13,577"
 Arkansas,Jackson County,"16,755"
 Arkansas,Jefferson County,"67,260"
 Arkansas,Johnson County,"25,749"
 Arkansas,Lafayette County,"6,308"
 Arkansas,Lawrence County,"16,216"
 Arkansas,Lee County,"8,600"
 Arkansas,Lincoln County,"12,941"
 Arkansas,Little River County,"12,026"
 Arkansas,Logan County,"21,131"
 Arkansas,Lonoke County,"74,015"
 Arkansas,Madison County,"16,521"
 Arkansas,Marion County,"16,826"
 Arkansas,Miller County,"42,600"
 Arkansas,Mississippi County,"40,685"
 Arkansas,Monroe County,"6,799"
 Arkansas,Montgomery County,"8,484"
 Arkansas,Nevada County,"8,310"
 Arkansas,Newton County,"7,225"
 Arkansas,Ouachita County,"22,650"
 Arkansas,Perry County,"10,019"
 Arkansas,Phillips County,"16,568"
 Arkansas,Pike County,"10,171"
 Arkansas,Poinsett County,"22,965"
 Arkansas,Polk County,"19,221"
 Arkansas,Pope County,"63,381"
 Arkansas,Prairie County,"8,282"
 Arkansas,Pulaski County,"399,125"
 Arkansas,Randolph County,"18,571"
 Arkansas,St. Francis County,"23,090"
 Arkansas,Saline County,"123,416"
 Arkansas,Scott County,"9,836"
 Arkansas,Searcy County,"7,828"
 Arkansas,Sebastian County,"127,799"
 Arkansas,Sevier County,"15,839"
 Arkansas,Sharp County,"17,271"
 Arkansas,Stone County,"12,359"
 Arkansas,Union County,"39,054"
 Arkansas,Van Buren County,"15,796"
 Arkansas,Washington County,"245,871"
 Arkansas,White County,"76,822"
 Arkansas,Woodruff County,"6,269"
 Arkansas,Yell County,"20,263"
 California,Alameda County,"1,682,353"
 California,Alpine County,"1,204"
 California,Amador County,"40,474"
 California,Butte County,"211,632"
 California,Calaveras County,"45,292"
 California,Colusa County,"21,839"
 California,Contra Costa County,"1,165,927"
 California,Del Norte County,"27,743"
 California,El Dorado County,"191,185"
 California,Fresno County,"1,008,654"
 California,Glenn County,"28,917"
 California,Humboldt County,"136,463"
 California,Imperial County,"179,702"
 California,Inyo County,"19,016"
 California,Kern County,"909,235"
 California,Kings County,"152,486"
 California,Lake County,"68,163"
 California,Lassen County,"32,730"
 California,Los Angeles County,"10,014,009"
 California,Madera County,"156,255"
 California,Marin County,"262,321"
 California,Mariposa County,"17,131"
 California,Mendocino County,"91,601"
 California,Merced County,"281,202"
 California,Modoc County,"8,700"
 California,Mono County,"13,195"
 California,Monterey County,"439,035"
 California,Napa County,"138,019"
 California,Nevada County,"102,241"
 California,Orange County,"3,186,989"
 California,Placer County,"404,739"
 California,Plumas County,"19,790"
 California,Riverside County,"2,418,185"
 California,Sacramento County,"1,585,055"
 California,San Benito County,"64,209"
 California,San Bernardino County,"2,181,654"
 California,San Diego County,"3,298,634"
 California,San Francisco County,"873,965"
 California,San Joaquin County,"779,233"
 California,San Luis Obispo County,"282,424"
 California,San Mateo County,"764,442"
 California,Santa Barbara County,"448,229"
 California,Santa Clara County,"1,936,259"
 California,Santa Cruz County,"270,861"
 California,Shasta County,"182,155"
 California,Sierra County,"3,236"
 California,Siskiyou County,"44,076"
 California,Solano County,"453,491"
 California,Sonoma County,"488,863"
 California,Stanislaus County,"552,878"
 California,Sutter County,"99,633"
 California,Tehama County,"65,829"
 California,Trinity County,"16,112"
 California,Tulare County,"473,117"
 California,Tuolumne County,"55,620"
 California,Ventura County,"843,843"
 California,Yolo County,"216,403"
 California,Yuba County,"81,575"
 Colorado,Adams County,"519,572"
 Colorado,Alamosa County,"16,376"
 Colorado,Arapahoe County,"655,070"
 Colorado,Archuleta County,"13,359"
 Colorado,Baca County,"3,506"
 Colorado,Bent County,"5,650"
 Colorado,Boulder County,"330,758"
 Colorado,Broomfield County,"74,112"
 Colorado,Chaffee County,"19,476"
 Colorado,Cheyenne County,"1,748"
 Colorado,Clear Creek County,"9,397"
 Colorado,Conejos County,"7,461"
 Colorado,Costilla County,"3,499"
 Colorado,Crowley County,"5,922"
 Colorado,Custer County,"4,704"
 Colorado,Delta County,"31,196"
 Colorado,Denver County,"715,522"
 Colorado,Dolores County,"2,326"
 Colorado,Douglas County,"357,978"
 Colorado,Eagle County,"55,731"
 Colorado,Elbert County,"26,062"
 Colorado,El Paso County,"730,395"
 Colorado,Fremont County,"48,939"
 Colorado,Garfield County,"61,685"
 Colorado,Gilpin County,"5,808"
 Colorado,Grand County,"15,717"
 Colorado,Gunnison County,"16,918"
 Colorado,Hinsdale County,788
 Colorado,Huerfano County,"6,820"
 Colorado,Jackson County,"1,379"
 Colorado,Jefferson County,"582,910"
 Colorado,Kiowa County,"1,446"
 Colorado,Kit Carson County,"7,087"
 Colorado,Lake County,"7,436"
 Colorado,La Plata County,"55,638"
 Colorado,Larimer County,"359,066"
 Colorado,Las Animas County,"14,555"
 Colorado,Lincoln County,"5,675"
 Colorado,Logan County,"21,528"
 Colorado,Mesa County,"155,703"
 Colorado,Mineral County,865
 Colorado,Moffat County,"13,292"
 Colorado,Montezuma County,"25,849"
 Colorado,Montrose County,"42,679"
 Colorado,Morgan County,"29,111"
 Colorado,Otero County,"18,690"
 Colorado,Ouray County,"4,874"
 Colorado,Park County,"17,390"
 Colorado,Phillips County,"4,530"
 Colorado,Pitkin County,"17,358"
 Colorado,Prowers County,"11,999"
 Colorado,Pueblo County,"168,162"
 Colorado,Rio Blanco County,"6,529"
 Colorado,Rio Grande County,"11,539"
 Colorado,Routt County,"24,829"
 Colorado,Saguache County,"6,368"
 Colorado,San Juan County,705
 Colorado,San Miguel County,"8,072"
 Colorado,Sedgwick County,"2,404"
 Colorado,Summit County,"31,055"
 Colorado,Teller County,"24,710"
 Colorado,Washington County,"4,817"
 Colorado,Weld County,"328,981"
 Colorado,Yuma County,"9,988"
 Connecticut,Fairfield County,"957,419"
 Connecticut,Hartford County,"899,498"
 Connecticut,Litchfield County,"185,186"
 Connecticut,Middlesex County,"164,245"
 Connecticut,New Haven County,"864,835"
 Connecticut,New London County,"268,555"
 Connecticut,Tolland County,"149,788"
 Connecticut,Windham County,"116,418"
 Delaware,Kent County,"181,851"
 Delaware,New Castle County,"570,719"
 Delaware,Sussex County,"237,378"
 District of Columbia,District of Columbia,"689,545"
 Florida,Alachua County,"278,468"
 Florida,Baker County,"28,259"
 Florida,Bay County,"175,216"
 Florida,Bradford County,"28,303"
 Florida,Brevard County,"606,612"
 Florida,Broward County,"1,944,375"
 Florida,Calhoun County,"13,648"
 Florida,Charlotte County,"186,847"
 Florida,Citrus County,"153,843"
 Florida,Clay County,"218,245"
 Florida,Collier County,"375,752"
 Florida,Columbia County,"69,698"
 Florida,DeSoto County,"33,976"
 Florida,Dixie County,"16,759"
 Florida,Duval County,"995,567"
 Florida,Escambia County,"321,905"
 Florida,Flagler County,"115,378"
 Florida,Franklin County,"12,451"
 Florida,Gadsden County,"43,826"
 Florida,Gilchrist County,"17,864"
 Florida,Glades County,"12,126"
 Florida,Gulf County,"14,192"
 Florida,Hamilton County,"14,004"
 Florida,Hardee County,"25,327"
 Florida,Hendry County,"39,619"
 Florida,Hernando County,"194,515"
 Florida,Highlands County,"101,235"
 Florida,Hillsborough County,"1,459,762"
 Florida,Holmes County,"19,653"
 Florida,Indian River County,"159,788"
 Florida,Jackson County,"47,319"
 Florida,Jefferson County,"14,510"
 Florida,Lafayette County,"8,226"
 Florida,Lake County,"383,956"
 Florida,Lee County,"760,822"
 Florida,Leon County,"292,198"
 Florida,Levy County,"42,915"
 Florida,Liberty County,"7,974"
 Florida,Madison County,"17,968"
 Florida,Manatee County,"399,710"
 Florida,Marion County,"375,908"
 Florida,Martin County,"158,431"
 Florida,Miami-Dade County,"2,701,767"
 Florida,Monroe County,"82,874"
 Florida,Nassau County,"90,352"
 Florida,Okaloosa County,"211,668"
 Florida,Okeechobee County,"39,644"
 Florida,Orange County,"1,429,908"
 Florida,Osceola County,"388,656"
 Florida,Palm Beach County,"1,492,191"
 Florida,Pasco County,"561,891"
 Florida,Pinellas County,"959,107"
 Florida,Polk County,"725,046"
 Florida,Putnam County,"73,321"
 Florida,St. Johns County,"273,425"
 Florida,St. Lucie County,"329,226"
 Florida,Santa Rosa County,"188,000"
 Florida,Sarasota County,"434,006"
 Florida,Seminole County,"470,856"
 Florida,Sumter County,"129,752"
 Florida,Suwannee County,"43,474"
 Florida,Taylor County,"21,796"
 Florida,Union County,"16,147"
 Florida,Volusia County,"553,543"
 Florida,Wakulla County,"33,764"
 Florida,Walton County,"75,305"
 Florida,Washington County,"25,318"
 Georgia,Appling County,"18,444"
 Georgia,Atkinson County,"8,286"
 Georgia,Bacon County,"11,140"
 Georgia,Baker County,"2,876"
 Georgia,Baldwin County,"43,799"
 Georgia,Banks County,"18,035"
 Georgia,Barrow County,"83,505"
 Georgia,Bartow County,"108,901"
 Georgia,Ben Hill County,"17,194"
 Georgia,Berrien County,"18,160"
 Georgia,Bibb County,"157,346"
 Georgia,Bleckley County,"12,583"
 Georgia,Brantley County,"18,021"
 Georgia,Brooks County,"16,301"
 Georgia,Bryan County,"44,738"
 Georgia,Bulloch County,"81,099"
 Georgia,Burke County,"24,596"
 Georgia,Butts County,"25,434"
 Georgia,Calhoun County,"5,573"
 Georgia,Camden County,"54,768"
 Georgia,Candler County,"10,981"
 Georgia,Carroll County,"119,148"
 Georgia,Catoosa County,"67,872"
 Georgia,Charlton County,"12,518"
 Georgia,Chatham County,"295,291"
 Georgia,Chattahoochee County,"9,565"
 Georgia,Chattooga County,"24,965"
 Georgia,Cherokee County,"266,620"
 Georgia,Clarke County,"128,671"
 Georgia,Clay County,"2,848"
 Georgia,Clayton County,"297,595"
 Georgia,Clinch County,"6,749"
 Georgia,Cobb County,"766,149"
 Georgia,Coffee County,"43,092"
 Georgia,Colquitt County,"45,898"
 Georgia,Columbia County,"156,010"
 Georgia,Cook County,"17,229"
 Georgia,Coweta County,"146,158"
 Georgia,Crawford County,"12,130"
 Georgia,Crisp County,"20,128"
 Georgia,Dade County,"16,251"
 Georgia,Dawson County,"26,798"
 Georgia,Decatur County,"29,367"
 Georgia,DeKalb County,"764,382"
 Georgia,Dodge County,"19,925"
 Georgia,Dooly County,"11,208"
 Georgia,Dougherty County,"85,790"
 Georgia,Douglas County,"144,237"
 Georgia,Early County,"10,854"
 Georgia,Echols County,"3,697"
 Georgia,Effingham County,"64,769"
 Georgia,Elbert County,"19,637"
 Georgia,Emanuel County,"22,768"
 Georgia,Evans County,"10,774"
 Georgia,Fannin County,"25,319"
 Georgia,Fayette County,"119,194"
 Georgia,Floyd County,"98,584"
 Georgia,Forsyth County,"251,283"
 Georgia,Franklin County,"23,424"
 Georgia,Fulton County,"1,066,710"
 Georgia,Gilmer County,"31,353"
 Georgia,Glascock County,"2,884"
 Georgia,Glynn County,"84,499"
 Georgia,Gordon County,"57,544"
 Georgia,Grady County,"26,236"
 Georgia,Greene County,"18,915"
 Georgia,Gwinnett County,"957,062"
 Georgia,Habersham County,"46,031"
 Georgia,Hall County,"203,136"
 Georgia,Hancock County,"8,735"
 Georgia,Haralson County,"29,919"
 Georgia,Harris County,"34,668"
 Georgia,Hart County,"25,828"
 Georgia,Heard County,"11,412"
 Georgia,Henry County,"240,712"
 Georgia,Houston County,"163,633"
 Georgia,Irwin County,"9,666"
 Georgia,Jackson County,"75,907"
 Georgia,Jasper County,"14,588"
 Georgia,Jeff Davis County,"14,779"
 Georgia,Jefferson County,"15,709"
 Georgia,Jenkins County,"8,674"
 Georgia,Johnson County,"9,189"
 Georgia,Jones County,"28,347"
 Georgia,Lamar County,"18,500"
 Georgia,Lanier County,"9,877"
 Georgia,Laurens County,"49,570"
 Georgia,Lee County,"33,163"
 Georgia,Liberty County,"65,256"
 Georgia,Lincoln County,"7,690"
 Georgia,Long County,"16,168"
 Georgia,Lowndes County,"118,251"
 Georgia,Lumpkin County,"33,488"
 Georgia,McDuffie County,"21,632"
 Georgia,McIntosh County,"10,975"
 Georgia,Macon County,"12,082"
 Georgia,Madison County,"30,120"
 Georgia,Marion County,"7,498"
 Georgia,Meriwether County,"20,613"
 Georgia,Miller County,"6,000"
 Georgia,Mitchell County,"21,755"
 Georgia,Monroe County,"27,957"
 Georgia,Montgomery County,"8,610"
 Georgia,Morgan County,"20,097"
 Georgia,Murray County,"39,973"
 Georgia,Muscogee County,"206,922"
 Georgia,Newton County,"112,483"
 Georgia,Oconee County,"41,799"
 Georgia,Oglethorpe County,"14,825"
 Georgia,Paulding County,"168,661"
 Georgia,Peach County,"27,981"
 Georgia,Pickens County,"33,216"
 Georgia,Pierce County,"19,716"
 Georgia,Pike County,"18,889"
 Georgia,Polk County,"42,853"
 Georgia,Pulaski County,"9,855"
 Georgia,Putnam County,"22,047"
 Georgia,Quitman County,"2,235"
 Georgia,Rabun County,"16,883"
 Georgia,Randolph County,"6,425"
 Georgia,Richmond County,"206,607"
 Georgia,Rockdale County,"93,570"
 Georgia,Schley County,"4,547"
 Georgia,Screven County,"14,067"
 Georgia,Seminole County,"9,147"
 Georgia,Spalding County,"67,306"
 Georgia,Stephens County,"26,784"
 Georgia,Stewart County,"5,314"
 Georgia,Sumter County,"29,616"
 Georgia,Talbot County,"5,733"
 Georgia,Taliaferro County,"1,559"
 Georgia,Tattnall County,"22,842"
 Georgia,Taylor County,"7,816"
 Georgia,Telfair County,"12,477"
 Georgia,Terrell County,"9,185"
 Georgia,Thomas County,"45,798"
 Georgia,Tift County,"41,344"
 Georgia,Toombs County,"27,030"
 Georgia,Towns County,"12,493"
 Georgia,Treutlen County,"6,406"
 Georgia,Troup County,"69,426"
 Georgia,Turner County,"9,006"
 Georgia,Twiggs County,"8,022"
 Georgia,Union County,"24,632"
 Georgia,Upson County,"27,700"
 Georgia,Walker County,"67,654"
 Georgia,Walton County,"96,673"
 Georgia,Ware County,"36,251"
 Georgia,Warren County,"5,215"
 Georgia,Washington County,"19,988"
 Georgia,Wayne County,"30,144"
 Georgia,Webster County,"2,348"
 Georgia,Wheeler County,"7,471"
 Georgia,White County,"28,003"
 Georgia,Whitfield County,"102,864"
 Georgia,Wilcox County,"8,766"
 Georgia,Wilkes County,"9,565"
 Georgia,Wilkinson County,"8,877"
 Georgia,Worth County,"20,784"
 Hawaii,Hawaii County,"200,629"
 Hawaii,Honolulu County,"1,016,508"
 Hawaii,Kalawao County,82
 Hawaii,Kauai County,"73,298"
 Hawaii,Maui County,"164,754"
 Idaho,Ada County,"494,967"
 Idaho,Adams County,"4,379"
 Idaho,Bannock County,"87,018"
 Idaho,Bear Lake County,"6,372"
 Idaho,Benewah County,"9,530"
 Idaho,Bingham County,"47,992"
 Idaho,Blaine County,"24,272"
 Idaho,Boise County,"7,610"
 Idaho,Bonner County,"47,110"
 Idaho,Bonneville County,"123,964"
 Idaho,Boundary County,"12,056"
 Idaho,Butte County,"2,574"
 Idaho,Camas County,"1,077"
 Idaho,Canyon County,"231,105"
 Idaho,Caribou County,"7,027"
 Idaho,Cassia County,"24,655"
 Idaho,Clark County,790
 Idaho,Clearwater County,"8,734"
 Idaho,Custer County,"4,275"
 Idaho,Elmore County,"28,666"
 Idaho,Franklin County,"14,194"
 Idaho,Fremont County,"13,388"
 Idaho,Gem County,"19,123"
 Idaho,Gooding County,"15,598"
 Idaho,Idaho County,"16,541"
 Idaho,Jefferson County,"30,891"
 Idaho,Jerome County,"24,237"
 Idaho,Kootenai County,"171,362"
 Idaho,Latah County,"39,517"
 Idaho,Lemhi County,"7,974"
 Idaho,Lewis County,"3,533"
 Idaho,Lincoln County,"5,127"
 Idaho,Madison County,"52,913"
 Idaho,Minidoka County,"21,613"
 Idaho,Nez Perce County,"42,090"
 Idaho,Oneida County,"4,564"
 Idaho,Owyhee County,"11,913"
 Idaho,Payette County,"25,386"
 Idaho,Power County,"7,878"
 Idaho,Shoshone County,"13,169"
 Idaho,Teton County,"11,630"
 Idaho,Twin Falls County,"90,046"
 Idaho,Valley County,"11,746"
 Idaho,Washington County,"10,500"
 Illinois,Adams County,"65,737"
 Illinois,Alexander County,"5,240"
 Illinois,Bond County,"16,725"
 Illinois,Boone County,"53,448"
 Illinois,Brown County,"6,244"
 Illinois,Bureau County,"33,244"
 Illinois,Calhoun County,"4,437"
 Illinois,Carroll County,"15,702"
 Illinois,Cass County,"13,042"
 Illinois,Champaign County,"205,865"
 Illinois,Christian County,"34,032"
 Illinois,Clark County,"15,455"
 Illinois,Clay County,"13,288"
 Illinois,Clinton County,"36,899"
 Illinois,Coles County,"46,863"
 Illinois,Cook County,"5,275,541"
 Illinois,Crawford County,"18,679"
 Illinois,Cumberland County,"10,450"
 Illinois,DeKalb County,"100,420"
 Illinois,De Witt County,"15,516"
 Illinois,Douglas County,"19,740"
 Illinois,DuPage County,"932,877"
 Illinois,Edgar County,"16,866"
 Illinois,Edwards County,"6,245"
 Illinois,Effingham County,"34,668"
 Illinois,Fayette County,"21,488"
 Illinois,Ford County,"13,534"
 Illinois,Franklin County,"37,804"
 Illinois,Fulton County,"33,609"
 Illinois,Gallatin County,"4,946"
 Illinois,Greene County,"11,985"
 Illinois,Grundy County,"52,533"
 Illinois,Hamilton County,"7,993"
 Illinois,Hancock County,"17,620"
 Illinois,Hardin County,"3,649"
 Illinois,Henderson County,"6,387"
 Illinois,Henry County,"49,284"
 Illinois,Iroquois County,"27,077"
 Illinois,Jackson County,"52,974"
 Illinois,Jasper County,"9,287"
 Illinois,Jefferson County,"37,113"
 Illinois,Jersey County,"21,512"
 Illinois,Jo Daviess County,"22,035"
 Illinois,Johnson County,"13,308"
 Illinois,Kane County,"516,522"
 Illinois,Kankakee County,"107,502"
 Illinois,Kendall County,"131,869"
 Illinois,Knox County,"49,967"
 Illinois,Lake County,"714,342"
 Illinois,LaSalle County,"109,658"
 Illinois,Lawrence County,"15,280"
 Illinois,Lee County,"34,145"
 Illinois,Livingston County,"35,815"
 Illinois,Logan County,"27,987"
 Illinois,McDonough County,"27,238"
 Illinois,McHenry County,"310,229"
 Illinois,McLean County,"170,954"
 Illinois,Macon County,"103,998"
 Illinois,Macoupin County,"44,967"
 Illinois,Madison County,"265,859"
 Illinois,Marion County,"37,729"
 Illinois,Marshall County,"11,742"
 Illinois,Mason County,"13,086"
 Illinois,Massac County,"14,169"
 Illinois,Menard County,"12,297"
 Illinois,Mercer County,"15,699"
 Illinois,Monroe County,"34,962"
 Illinois,Montgomery County,"28,288"
 Illinois,Morgan County,"32,915"
 Illinois,Moultrie County,"14,526"
 Illinois,Ogle County,"51,788"
 Illinois,Peoria County,"181,830"
 Illinois,Perry County,"20,945"
 Illinois,Piatt County,"16,673"
 Illinois,Pike County,"14,739"
 Illinois,Pope County,"3,763"
 Illinois,Pulaski County,"5,193"
 Illinois,Putnam County,"5,637"
 Illinois,Randolph County,"30,163"
 Illinois,Richland County,"15,813"
 Illinois,Rock Island County,"144,672"
 Illinois,St. Clair County,"257,400"
 Illinois,Saline County,"23,768"
 Illinois,Sangamon County,"196,343"
 Illinois,Schuyler County,"6,902"
 Illinois,Scott County,"4,949"
 Illinois,Shelby County,"20,990"
 Illinois,Stark County,"5,400"
 Illinois,Stephenson County,"44,630"
 Illinois,Tazewell County,"131,343"
 Illinois,Union County,"17,244"
 Illinois,Vermilion County,"74,188"
 Illinois,Wabash County,"11,361"
 Illinois,Warren County,"16,835"
 Illinois,Washington County,"13,761"
 Illinois,Wayne County,"16,179"
 Illinois,White County,"13,877"
 Illinois,Whiteside County,"55,691"
 Illinois,Will County,"696,355"
 Illinois,Williamson County,"67,153"
 Illinois,Winnebago County,"285,350"
 Illinois,Woodford County,"38,467"
 Indiana,Adams County,"35,809"
 Indiana,Allen County,"385,410"
 Indiana,Bartholomew County,"82,208"
 Indiana,Benton County,"8,719"
 Indiana,Blackford County,"12,112"
 Indiana,Boone County,"70,812"
 Indiana,Brown County,"15,475"
 Indiana,Carroll County,"20,306"
 Indiana,Cass County,"37,870"
 Indiana,Clark County,"121,093"
 Indiana,Clay County,"26,466"
 Indiana,Clinton County,"33,190"
 Indiana,Crawford County,"10,526"
 Indiana,Daviess County,"33,381"
 Indiana,Dearborn County,"50,679"
 Indiana,Decatur County,"26,472"
 Indiana,DeKalb County,"43,265"
 Indiana,Delaware County,"111,903"
 Indiana,Dubois County,"43,637"
 Indiana,Elkhart County,"207,047"
 Indiana,Fayette County,"23,398"
 Indiana,Floyd County,"80,484"
 Indiana,Fountain County,"16,479"
 Indiana,Franklin County,"22,785"
 Indiana,Fulton County,"20,480"
 Indiana,Gibson County,"33,011"
 Indiana,Grant County,"66,674"
 Indiana,Greene County,"30,803"
 Indiana,Hamilton County,"347,467"
 Indiana,Hancock County,"79,840"
 Indiana,Harrison County,"39,654"
 Indiana,Hendricks County,"174,788"
 Indiana,Henry County,"48,914"
 Indiana,Howard County,"83,658"
 Indiana,Huntington County,"36,662"
 Indiana,Jackson County,"46,428"
 Indiana,Jasper County,"32,918"
 Indiana,Jay County,"20,478"
 Indiana,Jefferson County,"33,147"
 Indiana,Jennings County,"27,613"
 Indiana,Johnson County,"161,765"
 Indiana,Knox County,"36,282"
 Indiana,Kosciusko County,"80,240"
 Indiana,LaGrange County,"40,446"
 Indiana,Lake County,"498,700"
 Indiana,LaPorte County,"112,417"
 Indiana,Lawrence County,"45,011"
 Indiana,Madison County,"130,129"
 Indiana,Marion County,"977,203"
 Indiana,Marshall County,"46,095"
 Indiana,Martin County,"9,812"
 Indiana,Miami County,"35,962"
 Indiana,Monroe County,"139,718"
 Indiana,Montgomery County,"37,936"
 Indiana,Morgan County,"71,780"
 Indiana,Newton County,"13,830"
 Indiana,Noble County,"47,457"
 Indiana,Ohio County,"5,940"
 Indiana,Orange County,"19,867"
 Indiana,Owen County,"21,321"
 Indiana,Parke County,"16,156"
 Indiana,Perry County,"19,170"
 Indiana,Pike County,"12,250"
 Indiana,Porter County,"173,215"
 Indiana,Posey County,"25,222"
 Indiana,Pulaski County,"12,514"
 Indiana,Putnam County,"36,726"
 Indiana,Randolph County,"24,502"
 Indiana,Ripley County,"28,995"
 Indiana,Rush County,"16,752"
 Indiana,St. Joseph County,"272,912"
 Indiana,Scott County,"24,384"
 Indiana,Shelby County,"45,055"
 Indiana,Spencer County,"19,810"
 Indiana,Starke County,"23,371"
 Indiana,Steuben County,"34,435"
 Indiana,Sullivan County,"20,817"
